Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad
amoi,Amoi E860,https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in),,,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,,,microSD (dedicated slot),50MB,No,,,Yes,2 MP,,,No,No,No,"1.2, A2DP","Yes, SiRF Star III chipset",No,No,,Removable Li-Ion 1150 mAh battery,,Black,,,,,File transfer  Organizer Task synchronizing,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML(IE)",Vibration; Downloadable polyphonic ringtones,,,,
amoi,Amoi E78,https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,2007,Discontinued,115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in),,,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.46 inches, 18.7 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~163 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,,,,microSD (dedicated slot),64MB,No,,,Yes,2 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 1100 mAh battery,,Black,,,,,File transfer  Organizer Task synchronizing  Pocket Office,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,WAP 2.0 / HTML (PocketIE),Vibration; Downloadable polyphonic ringtones,,,,
amoi,Amoi E76,https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in),,,Mini-SIM,"TFT, 65K colors","2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,,,microSD (dedicated slot),64MB,No,,,Yes,2 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 1100 mAh battery,,Black,,,,,File transfer  Contact Organizer Task synchronizing,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,MS IE,Vibration; Downloadable polyphonic ringtones,,,,
amoi,Amoi E72,https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,GSM,GSM 900 / 1900,,,HSPA,2007,Discontinued,100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in),,,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~28.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),Microsoft Windows Mobile 5.0 Phone Edition,,,,microSD (dedicated slot),64MB,No,,,Yes,1.3 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 1100 mAh battery,,Black,,,,,File transfer  Organizer,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,WAP 2.0 / HTML (PocketIE),Vibration; Downloadable polyphonic ringtones,,,,
amoi,Amoi WMA8701A,https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,HSPA,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),200MB,Audio/ player P2P Video Support PC Sync Organizer,,,Yes,2 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 820 mAh battery,,Black,,,,,,,,,VGA videocall camera,,,,,,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones",,,,
amoi,Amoi WMA8703,https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,HSPA,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),200MB,Audio/ player P2P Video Support PC Sync Organizer,,,Yes,3.15 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 920 mAh battery,,Black,,,,,,,,,VGA videocall camera,,,,,,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones",,,,
amoi,Amoi WMA8508,https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2007, August",Cancelled,95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in),,,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.6% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD,16MB,"- Second external OLED display,  128 x 36 pixels",,rotating lens,No,1.3 MP,,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 780 mAh battery,,Black,,,,,No,Audio/ player P2P Video Support PC Sync Organizer,,,,,,,,,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, midi, wav ringtones",,,,
amoi,Amoi CMA8170,https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,GSM,GSM 900 / 1800 / CDMA2000 1x EV-DO,,,,2007,Discontinued,92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in),,,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.5% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),90MB,"- Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,,No,1.3 MP,,,No,No,No,1.1,No,No,No,,Removable Li-Ion 860 mAh battery,,Black,,,,,No,Audio/ player PC Sync Organizer,,,,,,,No,No,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes (optional),,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones",,,,
amoi,Amoi M33,https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,GSM,GSM 900 / 1800,,,,"2007, Q3",Cancelled,106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in),,,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,30MB,No,,,No,VGA,,,No,No,No,No,No,FM radio,No,,Removable Li-Ion 700 mAh battery,,Silver,,,,,"MP3, MP4 Player PC Sync Organizer",,,,,,,,No,No,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi A203,https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in),,,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,5MB,No,,,No,VGA,,,No,No,No,No,No,FM radio,No,,Removable Li-Ion 750 mAh battery,,Black,,,,,PC Sync Organizer,,,,,,,,No,No,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A200,https://fdn2.gsmarena.com/vv/bigpic/amoi-a200.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,82 x 41 x 15 mm (3.23 x 1.61 x 0.59 in),,,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~21.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,3MB,No,,,No,VGA,,,No,No,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,,"Black & Silver, Pink & White",,,,,PC Sync Organizer,,,,,,,,No,No,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A102,https://fdn2.gsmarena.com/vv/bigpic/amoi-a102.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in),,,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,,Black,,,,,,,,,,,,,No,No,,,,,,,300 entries,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A100,https://fdn2.gsmarena.com/vv/bigpic/amoi-a100.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,,Black,,,,,,,,,,,,,No,No,,,,Up to 350 h,Up to 7 h,,300 entries,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A10,https://fdn2.gsmarena.com/vv/bigpic/amoi-a10.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,102.4 x 44 x 15 mm (4.03 x 1.73 x 0.59 in),,,Mini-SIM,"CSTN, mono","1.5 inches, 7.3 cm2 (~16.1% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,5-way wavigation key,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 1100 mAh battery,,Black,,,,,No,,,,,,,,No,No,,,,Up to 500 h,Up to 9 h,,Yes,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI, AMR ringtones",,,,
amoi,Amoi E850,https://fdn2.gsmarena.com/vv/bigpic/amoi-e850.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, Q2",Discontinued,102 x 54 x 20 mm (4.02 x 2.13 x 0.79 in),108 g (3.81 oz),,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.4 inches, 16.8 cm2 (~30.6% screen-to-body ratio)",204 x 320 pixels (~158 ppi density),Microsoft Windows Mobile 5.0 for PocketPC Phone Edition,,Intel XScale PXA 272 312 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Handwriting recognition,,LED flash,Yes,2 MP,,,No,No,No,1.2,No,No,1.1,,Removable Li-Ion 1100 mAh battery,,Black,,,,,No,Pocket Office  Media player PC Sync Voice memo Organizer World Time,,,,,,,Class 10,No,,,Yes,Up to 150 h,Up to 4 h,,,,,,,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi V810,https://fdn2.gsmarena.com/vv/bigpic/amoi-v810.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in),128g (4.52 oz),,Mini-SIM,"TFT, 256Kcolors","2.0 inches, 12.6 cm2 (~26.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),35MB,"Second external OLED display,  96 x 64 pixels, 1.0 inches",,180 deg rotating lens,CIF,1.3 MP,,,No,No,No,Yes,"Yes, with A-GPS",No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,Audio & Video streaming (MP3 & MP4) BREW PC Sync Voice memo Organizer Stop Watch World Time,,,,,,,,,,,,Up to 120 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,No,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H815,https://fdn2.gsmarena.com/vv/bigpic/amoi-h815.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106 g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,Yes,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H812,https://fdn2.gsmarena.com/vv/bigpic/amoi-h812.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106 g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,Yes,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H810,https://fdn2.gsmarena.com/vv/bigpic/amoi-h810.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H802,https://fdn2.gsmarena.com/vv/bigpic/amoi-h802.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,93.5 x 50 x 26.3 mm (3.68 x 1.97 x 1.04 in),130g (4.59 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~26.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),7MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,Optional,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 10 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H801,https://fdn2.gsmarena.com/vv/bigpic/amoi-h801.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,93 x 50 x 26 mm (3.66 x 1.97 x 1.02 in),129g (4.55 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),7MB,"Second external OLED display, 96 x 64 pixels, 1.0 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,Optional,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 10 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H8,https://fdn2.gsmarena.com/vv/bigpic/amoi-h8.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in),128 g (4.52 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~26.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),7MB,"Second external OLED display, 96 x 64 pixels, 1.0 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,Optional,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Black-silver,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 10 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
