Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
benq_siemens,BenQ-Siemens SF71,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2007, March",Discontinued,96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in),118 g (4.16 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),45MB,"Second external 65K colors display, OLED (96 x 64 pixels)",,LED flash,Yes,2 MP,,,No,No,No,"1.1, A2DP",No,No,1.1,,Removable Li-Ion 920 mAh battery,,Black,,,,,Video telephony MP3/AAC/AAC+/eAAC+ player Photo editor Predictive text input Voice dial Stopwatch Organizer,,,,VGA videocall camera,,,,,,,,,Up to 160 h,Up to 4 h 30 min,,"500 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email","5 - StarWars, SeaBattle, SuperBomber + downloadable","Yes, MIDP 2.0",,,,,,,,,"WAP 2.0/xHTML, HTML","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens E52,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif,GSM,GSM 900 / 1800 / 1900,,,,"2007, June",Cancelled,102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in),122 g (4.30 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD,20MB,No,,,Yes,1.3 MP,,,Yes,No,No,1.2,No,FM radio,1.1,,Removable Li-Ion 920 mAh battery,,TransSilver,,,,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,,,,,,,,Class 10,No,,,,Up to 245 h,Up to 4 h 10 min,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens C32,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif,GSM,GSM 900 / 1800,,,,"2007, July",Cancelled,101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in),82 g (2.89 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~26.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD,,No,,,Yes,2 MP,,,Yes,No,No,"1.2, A2DP",No,No,1.1,,Removable Li-Ion 720 mAh battery,,Liquid aura,,,,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,,,,,,,,Class 12,No,,,,Up to 250 h,Up to 4 h,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS, EMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens C31,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif,GSM,GSM 900 / 1800 / 1900,,,,"2007, June",Cancelled,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),86 g (3.03 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD,20MB,No,,,Yes,1.3 MP,,,Yes,No,No,No,No,FM radio,1.1,,Removable Li-Ion 920 mAh battery,,"SilverShine, GraphiteGloss",,,,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,,,,,,,,Class 10,No,,,,Up to 170 h,Up to 3 h 30 min,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens SL80,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, August",Cancelled,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",99 g (3.49 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.0 cm2 (~22.7% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,,No,52MB,No,,LED flash,Yes,1.3 MP,,,No,No,No,1.2,No,No,Proprietary,,Removable Li-Ion 750 mAh battery,,Mauve Sensation,,,,,MP3/AAC/MP4 player Predictive text input Organizer Voice memo,,,,,,,,Class 10,Class 10,,,,Up to 300 h,Up to 5 h,,"1000 x 23 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email","SeaBattle, Wappo 2, Golf + downloadable","Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens AL26,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, August",Cancelled,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),80 g (2.82 oz),,Mini-SIM,"TFT, 65K colors",,"130 x 130 pixels, 1:1 ratio",,,,,No,1.5MB,GSM 850 / 1800 / 1900 - US version,,,,,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 600 mAh battery,,Pink,,,,,Special Hello Kitty wallpapers and ringtones 4-way navigation key,Calculator Currency converter Birthday reminder,,,,,,,Class 8,No,,,,Up to 220 h,Up to 5 h,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 1.0",,,,,,,,,WAP 1.2.1,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens A53,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2007, April",Discontinued,80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),68 g (2.40 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,,,microSD (dedicated slot),,"Second external 65K colors CSTN display, 120 x 160 pixels",,,Yes,1.3 MP,,,Yes,No,No,No,No,No,1.1,,Removable Li-Ion 600 mAh battery,,"Black, Blue, Pink",,,,,No,MP3 player Organizer Voice memo Predictive text input,,,,,,,Class 12,No,,,,Up to 200 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens SL91,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, July",Discontinued,89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in),109 g (3.84 oz),,Mini-SIM,"TFT, 16M colors","2.0 inches, 12.4 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),64MB,Touch-sensitive navigation keys,,,Yes,"3.15 MP, AF",,,No,No,No,Yes,No,"Stereo FM radio, RDS",2.0,,Removable Li-Ion 950 mAh battery,,Magic Black,,,,,MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer,,,,VGA videocall camera,,,,,,,,,Up to 310 h,Up to 3 h 15 min,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens E81,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, July",Discontinued,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD (dedicated slot),16MB,No,,LED flash,QCIF,1.3 MP,,,No,No,No,Yes,No,No,2.0,,Removable Li-Ion 900 mAh battery,,Lucent Black,,,,,MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer,,,,,,,,,,,,,Up to 300 h,Up to 5 h,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens E71,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, July",Discontinued,104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in),80 g (2.82 oz),,Mini-SIM,"TFT, 256K colors","2.1 inches, 31 x 42 mm, 13.7 cm2 (~28.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,,,microSD (dedicated slot),16MB,GSM 850 / 1800 / 1900 - US version,,,QCIF,1.3 MP,,,Yes,No,No,Yes,No,FM radio,2.0,,Removable Li-Ion 730 mAh battery,,"Dark Silver, Onyx Black",,,,,No,MP3/AAC/AAC+ player Predictive text input Organizer Voice memo,,,,,,,Class 10,Class 10,,,,Up to 390 h,Up to 6 h 20 min,,"1000 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens EF61,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef61.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, July",Discontinued,88 x 46 x 23 mm (3.46 x 1.81 x 0.91 in),99 g (3.49 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,,,,,microSD (dedicated slot),1.5MB,"Second external CSTN, 4096 colors display (96 x 64 pixels)",,,No,1.3 MP,,,No,No,No,Yes,No,No,1.1,,Removable Li-Ion 750 mAh battery,,Whisper,,,,,No,MP3/AAC/WMA player Photo editor Predictive text input Voice memo Stopwatch Organizer,,,,,,,Class 10,No,,,,Up to 225 h,Up to 3 h,,"Yes, Photo call","100 dialed, 100 received, 100 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,"WAP 2.0/xHTML, HTML","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens M81,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-m81.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, June",Discontinued,105.3 x 47.5 x 18.4 mm (4.15 x 1.87 x 0.72 in),96 g (3.39 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 27 x 36 mm, 10.0 cm2 (~20.1% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,,RS-MMC,27MB,Dust and shock resistant,,LED flash,Yes,1.3 MP,,,No,No,No,Yes,No,No,2.0,,Removable Li-Ion 820 mAh battery,,"Graphite Black, Steel Blue",,,,,No,MP3/AAC player Organizer Voice memo Predictive text input,,,,,,,Class 10,Class 10,,,,Up to 300 h,Up to 5 h,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging",Yes + downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq_siemens,BenQ-Siemens A58,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a58.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, May",Cancelled,"102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",85 g (3.00 oz),,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,6.5MB,No,,,,,,,Yes,No,No,Yes,No,No,No,,Removable Li-Ion 820 mAh battery,,"Mercury Silver, Carbon Black",,,,,iTap Organizer Stopwatch Voice memo,,,,,,,,Class 8,No,,,,Up to 300 h,Up to 6 h,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",Yes + Java downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Polyphonic(32), MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
