Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm
chea,Chea A90,https://fdn2.gsmarena.com/vv/bigpic/cha90.gif,GSM,GSM 900 / 1800 / 1900,Wallpapers Downloadable image,,No,,,"2004, Q1",Discontinued,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),82.8 g (2.89 oz),Mini-SIM,Karaoke Downloadable karaoke,"CSTN, 4096 colors",,128 x 160 pixels,,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable battery,,,,,,500,,SMS,,No,,,,,,Class 10,No,,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,"English,Spanish",,
chea,Chea JMS-110,https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif,GSM,GSM 900 / 1800 / 1900,Wallpapers,,No,,,"2004, Q1",Cancelled,50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in),77 g (2.72 oz),Mini-SIM,Predictive text input,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion 720 mAh battery,,,Up to 240 h,,,300,,"SMS, EMS",,No,,,,,,Class 8,No,,,,Vibration; Polyphonic(16) ringtones,WAP,,,
chea,Chea 328,https://fdn2.gsmarena.com/vv/bigpic/ch328.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Organizer Voice dial Voice memo,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 150 h,Up to 5 h,,150,,"SMS, MMS",3,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2,English,,
chea,Chea 318,https://fdn2.gsmarena.com/vv/bigpic/ch318.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Organizer Voice dial Voice memo,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 150 h,Up to 5 h,,150,,"SMS, MMS",3,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2,English,,
chea,Chea 308,https://fdn2.gsmarena.com/vv/bigpic/ch308.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Organizer Voice dial,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 150 h,Up to 5 h,,150,,"SMS, MMS",3,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2,English,,
chea,Chea 228,https://fdn2.gsmarena.com/vv/bigpic/ch228.gif,GSM,GSM 900 / 1800,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,,No,,,"2003, Q3",Cancelled,85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in),74 g (2.61 oz),Mini-SIM,Organizer Voice memo  Voice dial,"TFT, 65K colors",,128 x 160 pixels,,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 200 h,Up to 2 h,,150,,"SMS, MMS",4,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2.1,English,,
chea,Chea 218,https://fdn2.gsmarena.com/vv/bigpic/ch218.gif,GSM,GSM 900 / 1800,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,,No,,,"2003, Q3",Cancelled,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),Mini-SIM,Organizer Voice memo  Voice dial,"TFT, 65K colors",,128 x 160 pixels,,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 200 h,Up to 2 h,,150,,"SMS, MMS",4,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2.1,English,,
chea,Chea 208,https://fdn2.gsmarena.com/vv/bigpic/ch208.gif,GSM,GSM 900 / 1800,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,,No,,,"2003, Q3",Cancelled,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),Mini-SIM,Organizer Voice memo  Voice dial,"TFT, 65K colors",,128 x 160 pixels,,,,,,No,,,,,,,No,No,No,No,No,,,No,,,Removable Li-Ion battery,,,Up to 200 h,Up to 2 h,,150,,"SMS, MMS",4,Yes,,,,,,Yes,No,,,,"Vibration; Polyphonic ringtones, composer",WAP 1.2.1,English,Yes,Yes
chea,Chea 198,https://fdn2.gsmarena.com/vv/bigpic/ch198.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Predictive text input Organizer,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,,,No,,,,,,,Yes,No,No,No,No,,,No,,,Removable Li-Ion 650 mAh battery,,,Up to 160 h,Up to 3 h,,100,,SMS,3,No,,,,,,No,No,,,,"Vibration; Polyphonic ringtones, composer",,Major European languages,Yes,Yes
chea,Chea 188,https://fdn2.gsmarena.com/vv/bigpic/ch188.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Predictive text input Organizer,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,,,No,,,,,,,Yes,No,No,No,No,,,No,,,Removable Li-Ion 650 mAh battery,,,Up to 160 h,Up to 3 h,,100,,SMS,3,No,,,,,,No,No,,,,"Vibration; Polyphonic ringtones, composer",,Major European languages,Yes,Yes
chea,Chea 178,https://fdn2.gsmarena.com/vv/bigpic/ch178.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Predictive text input Organizer,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,,,No,,,,,,,Yes,No,No,No,No,,,No,,,Removable Li-Ion 650 mAh battery,,,Up to 160 h,Up to 3 h,,100,,SMS,3,No,,,,,,No,No,,,,"Vibration; Polyphonic ringtones, composer",,Major European languages,Yes,Yes
chea,Chea 168,https://fdn2.gsmarena.com/vv/bigpic/ch168.gif,GSM,GSM 900 / 1800,Screensavers,,No,,,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Predictive text input Organizer,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,,,No,,,,,,,Yes,No,No,No,No,,,No,,,Removable Li-Ion 650 mAh battery,,,Up to 160 h,Up to 3 h,,100,,SMS,3,No,,,,,,No,No,,,,"Vibration; Polyphonic ringtones, composer",,Major European languages,Yes,Yes
