Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
eten,Eten glofiish X610,https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, June. Released 2008, December",Discontinued,107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in),136 g (4.80 oz),Mini-SIM,Pocket Office  Windows MPlayer 10 Direct push technology Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C2442 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,LED flash,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,miniUSB,,Removable Li-Ion battery,Black,About 200 EUR,,,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish V900,https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,DVB-H/DVB-T/T-DMB/DAB TV broadcast receiver MP3/WMA/WAV/eAAC+ player MP4/H.263/WMV player Pocket Office  Organizer TV-out Voice memo Predictive text input,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, December",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung 667 MHz,,microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB 1.1,,Removable Li-Ion 1530 mAh battery,Black,About 590 EUR,,,,,,,,,,,,,,,,,,,"Vibration, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X900,https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C 6400 533 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,Proprietary,,Removable Li-Ion battery,Black,About 350 EUR,,,,,,,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish DX900,https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1,GSM 900 / 1800 / 1900 - SIM 2,HSDPA 850 / 1900 / 2100 - SIM 1,Handwriting recognition,,HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, December",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Dual SIM (Mini-SIM),TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.1 Professional,,Samsung S3C 6400 533 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,No,Proprietary,,Removable Li-Ion battery,Black,About 320 EUR,,,,,,,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M750,https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, April. Released 2008",Discontinued,109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C 2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,No,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Black,,Up to 260 h,Up to 6 h,,,,,,,,,,,,Class 10,Class 10,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M810,https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,,HSPA,"2008, April. Released 2008, August",Discontinued,109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C 2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Black,About 230 EUR,Up to 260 h,Up to 6 h,,,,,,,,,,,,,,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X650,https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2008, January. Released 2008, March",Discontinued,107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung SC32442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,"Black, Purple",About 220 EUR,Up to 170 h,Up to 6 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M800,https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,,HSPA,"2007, October. Released 2008, March",Discontinued,113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in),178 g (6.28 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors",,"640 x 480 pixels, 2.8, 4:3 ratio",,Microsoft Windows Mobile 6.0,,Samsung S3C2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,Silver,About 230 EUR,Up to 150 h,Up to 4 h,,,,,,,,,,,,,,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X600,https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2007, October. Released 2008, January",Discontinued,107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Direct push technology Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C2442 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,"Black, Red",About 170 EUR,Up to 200 h,Up to 7 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X500+,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2007, May",Discontinued,113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),146 g (5.15 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung S3C2440 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,"Silver, Black",About 180 EUR,Up to 170 h,Up to 5 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X800,https://fdn2.gsmarena.com/vv/bigpic/eten-x800.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,,HSPA 1.8 Mbps,"2007, March. Released 2007, November",Discontinued,113.5 x 60.5 x 15.8 mm (4.47 x 2.38 x 0.62 in),146 g (5.15 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~35.4% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Microsoft Windows Mobile 6.0 Professional,,Samsung SC3 2440 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,Proprietary,,"Removable Li-Po, 1530 mAh battery",Black,About 180 EUR,,,,,,,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish M700,https://fdn2.gsmarena.com/vv/bigpic/eten-m700.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, November",Discontinued,117.5 x 59 x 19.8 mm (4.63 x 2.32 x 0.78 in),165 g (5.82 oz),Mini-SIM,Pocket Office  eBook Reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~35.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung S3C2440 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Silver,About 290 EUR,Up to 200 h,Up to 7 h,,,,,,,,,,,,Class 10,Class 10,,,QWERTY,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten glofiish X500,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, October",Discontinued,113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),146 g (5.15 oz),Mini-SIM,Pocket Office  eBook Reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung S3C2440 400 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11 b/g,2.0,"Yes, SiRF Star III chipset",,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Silver,About 290 EUR,Up to 200 h,Up to 7 h,,,,,,,,,,,,Class 10,Class 10,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten M550,https://fdn2.gsmarena.com/vv/bigpic/eten-m550.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, April",Discontinued,112 x 61 x 22 mm (4.41 x 2.40 x 0.87 in),165 g (5.82 oz),Mini-SIM,Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung 2440 400 MHz,,SD/SDIO,"64MB RAM, 128MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,No,1.2,No,,,No,Proprietary,,Removable Li-Ion 1440 mAh battery,White,About 220 EUR,Up to 200 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten G500+,https://fdn2.gsmarena.com/vv/bigpic/eten-g500p.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, August",Discontinued,119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),191 g (6.74 oz),Mini-SIM,Pocket Office  eBook Reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~32.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung S3C 2440 400 MHz,,miniSD,"64MB RAM, 256MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,No,2.0,"Yes, SiRF Star III chipset",,,"Stereo FM radio, RDS",Proprietary,,Removable Li-Ion 1440 mAh battery,,,Up to 200 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten M600+,https://fdn2.gsmarena.com/vv/bigpic/eten-m600p.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, June",Discontinued,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),174 g (6.14 oz),Mini-SIM,Pocket Office  eBook Reader MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung S3C 2440 400 MHz,,SD/SDIO,"64MB RAM, 256MB ROM",2 MP,,Yes,,,Yes,No,Wi-Fi 802.11b,2.0,No,,,No,Proprietary,,Removable Li-Ion 1440 mAh battery,,About 320 EUR,Up to 200 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten G500,https://fdn2.gsmarena.com/vv/bigpic/eten-g500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2006, Q1",Discontinued,119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),191 g (6.74 oz),Mini-SIM,Pocket Office  eBook Reader Windows MPlayer 10 Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~32.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung S3C2440 400 MHz,,miniSD,"64MB RAM, 128MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,No,2.0,Yes,,,No,Proprietary,,Removable Li-Ion 1440 mAh battery,,About 300 EUR,Up to 220 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten M600,https://fdn2.gsmarena.com/vv/bigpic/eten-m600.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2005, Q4",Discontinued,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),165 g (5.82 oz),Mini-SIM,Pocket Office  eBook Reader MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 5.0 PocketPC,,Samsung 2440 400 MHz,,SD/SDIO,"64MB RAM, 128MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,Wi-Fi 802.11b,1.2,No,,,No,Proprietary,,Removable Li-Ion 1440 mAh battery,,About 310 EUR,Up to 200 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten M500,https://fdn2.gsmarena.com/vv/bigpic/eten-m500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,,No,,,"2004, Q4",Discontinued,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),170 g (6.00 oz),Mini-SIM,Pocket Office  eBook Reader Windows MPlayer 10 Organizer Predictive text input Voice memo,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 2003 SE PocketPC,,Samsung S3C 2440 400 MHz,,SD/SDIO,"64MB RAM, 128MB ROM",1.3 MP,,Yes,,,Yes,No,No,1.1,No,,Yes,No,Proprietary,,Removable Li-Ion 1440 mAh battery,,,Up to 200 h,Up to 4 h,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten P300B,https://fdn2.gsmarena.com/vv/bigpic/eten-p300b.gif,GSM,GSM 900 / 1800 / 1900,No,,Pocket Office  eBook Reader Windows MPlayer 9 Organizer Predictive text input Voice memo,,,"2004, Q2",Discontinued,117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in),165 g (5.82 oz),Mini-SIM,,"STN resistive touchscreen, 4096 colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 2003 PocketPC,,Samsung 2410 200 MHz,,SD/SDIO,64MB 64MB RAM,,,,,,Yes,No,No,1.1,No,,,No,Proprietary,,Removable Li-Po 1300 mAh battery,,,,,,,,,,,,,,,,Class 10,No,,,,Vibration; Downloadable polyphonic ringtones,HTML (PocketIE),,,,,,,,,
eten,Eten P700,https://fdn2.gsmarena.com/vv/bigpic/eten-p700.gif,GSM,GSM 900 / 1800 / 1900,No,,Pocket Office  Windows MPlayer 9 Organizer Predictive text input Voice memo,,,"2004, Q1",Discontinued,131 x 78 x 21 mm (5.16 x 3.07 x 0.83 in),200 g (7.05 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~37.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",,Microsoft Windows Mobile 2003 PocketPC,,Intel PXA255 400 MHz,,SD/SDIO,64MB 64MB RAM,,,,,,Yes,No,No,1.1,No,,Yes,No,Proprietary,,Removable Li-Ion 1440 mAh battery,,,,,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
eten,Eten P300,https://fdn2.gsmarena.com/vv/bigpic/eten-p300.gif,GSM,GSM 900 / 1800 / 1900,No,,Pocket Office  Windows MPlayer 9 Organizer Predictive text input Voice memo,,,"2004, Q2",Discontinued,117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in),165 g (5.82 oz),Mini-SIM,,"STN resistive touchscreen, 4096 colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Microsoft Windows Mobile 2003 PocketPC,,Samsung 2410 200 MHz,,SD/SDIO,"64MB RAM, 32MB ROM",VGA,,No,,,Yes,No,No,No,No,,Yes,No,Proprietary,,Removable Li-Po 1050 mAh battery,,,,,,,,,,,,,,,,Class 10,No,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",HTML (PocketIE),,,,,,,,,
