Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1,Battery life,Performance,Display
gionee,Gionee M30,https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2020, August 25","Available. Released 2020, August 31",-,305 g (10.76 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,Android,Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,128GB 8GB RAM,"16 MP, (wide), AF",LED flash,1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,,Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 10000 mAh, non-removable",Black,About 170 EUR,,,,,,,,,"Glass front, aluminum frame, aluminum back",,,Fast charging 25W Reverse charging,,,,,,,,,,,,,,,,,,,,
gionee,Gionee Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 900 / 2100,,"1, 3, 5, 8, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2020, August 25","Available. Released 2020, August 31",148 x 70.9 x 10.8 mm (5.83 x 2.79 x 0.43 in),185 g (6.53 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~87.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Android 10,Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),32GB 2GB RAM,5 MP,LED flash,1080p@24fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, hotspot","4.2, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Po 5000 mAh, non-removable","Black, Red, Royal Blue",About 70 EUR,,,0.41 W/kg (head)     0.90 W/kg (body),,,,,,,"13 MP, (wide), AF 0.3 MP (depth)",,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee K3 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-k3-pro.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2020, August 24","Available. Released 2020, September",164.3 x 77.6 x 9.7 mm (6.47 x 3.06 x 0.38 in),205 g (7.23 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm2 (~80.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Android 9.0 (Pie),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable","Jade Green, Pearl White",About 80 EUR,,,,,,,,,,,,Charging 10W,,,,,,,,,,,,,,,,"16 MP, f/2.0, (wide), 1/3.1"", 1.0µm, AF 2 other unknown cameras",,,,
gionee,Gionee K6,https://fdn2.gsmarena.com/vv/bigpic/gionee-k6.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2020, May 21","Available. Released 2020, May 27",157.6 x 75.9 x 10.2 mm (6.20 x 2.99 x 0.40 in),192 g (6.77 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 94.4 cm2 (~78.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~277 ppi density)",,Android 7.1 (Nougat),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","13 MP, (wide), 1/3.1"", 1.12µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,,Unspecified,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4350 mAh, non-removable","Black, Blue",About 100 EUR,,,,,,,,,,,,Charging 10W,20190418Q,,,,,,,,,,,,,,,"16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm, AF 2 other unknown cameras",,,,
gionee,Gionee F205,https://fdn2.gsmarena.com/vv/bigpic/gionee-f205.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2018, January","Available. Released 2018, January",148.4 x 70.7 x 8 mm (5.84 x 2.78 x 0.31 in),135.6 g (4.80 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,microSDXC,16GB 2GB RAM,"8 MP, AF","LED flash, HDR, panorama",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2670 mAh, non-removable","Gold, Red, Blue",About 130 EUR,,,,,,,,,"Glass front, aluminum back, aluminum frame",,,,F205,,,,,,,,,,,,,,,,,,,
gionee,Gionee S11S,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11s.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2017, November","Available. Released 2017, December",155.8 x 72.6 x 7 mm (6.13 x 2.86 x 0.28 in),177 g (6.24 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~82.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Mediatek Helio P30 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),Mali-G71 MP2,microSDXC,64GB 6GB RAM,,"LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3600 mAh, non-removable","Silver, Gold",About 500 EUR,,,,,,,,,"Glass front, glass back, aluminum frame","16 MP, AF 8 MP",,,,,,,,,,,,,,,,,,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm 8 MP",,,
gionee,Gionee S11,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, November","Available. Released 2017, December",159.5 x 77.7 x 7.8 mm (6.28 x 3.06 x 0.31 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~74.7% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Mediatek MT6763T Helio P23 (16 nm),Octa-core 2.5 GHz Cortex-A53,Mali-G71 MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3410 mAh, non-removable","Moonlight blue, space gold, cherry powder",About 320 EUR,,,,,,,,,,"16 MP, AF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm 8 MP",,,
gionee,Gionee S11 lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11-mini-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2017, November","Available. Released 2018, February",153.8 x 72.6 x 7.9 mm (6.06 x 2.86 x 0.31 in),141 g (4.97 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),32GB 4GB RAM,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3030 mAh, non-removable","Gold, Dark Blue, Black",About 200 EUR,,,,,,,,,,"13 MP, f/2.2, AF 2 MP, (depth)",,,S11 lite,,,,,,,,,,,,,,,,,,,
gionee,Gionee M7 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7-plus.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, November","Available. Released 2018, July",166.5 x 81.6 x 8.7 mm (6.56 x 3.21 x 0.34 in),241 g (8.50 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED capacitive touchscreen, 16M colors","6.43 inches, 106.7 cm2 (~78.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~376 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC,128GB 6GB RAM,8 MP,"LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",Yes,Yes,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Blue,About 670 EUR,,,,,,,,,"Glass front, aluminum/leather back, aluminum frame","16 MP, AF 8 MP",,Charging 10W,,,,,,,,,,,,,,,,,,,,
gionee,Gionee M7 Power,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7-power-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, October","Available. Released 2017, November",156.4 x 76.7 x 8.6 mm (6.16 x 3.02 x 0.34 in),199 g (7.02 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Corning Gorilla Glass 3,"Android 7.1.1 (Nougat), Amigo 5",Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.0, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Dark blue, black, gold",About 260 EUR,Up to 625 h (3G),Up to 56 h (3G),,,,,,,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,,,M7 Power,,,,,,,,,,,,,,,,,,,
gionee,Gionee M7,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",157 x 76 x 7.2 mm (6.18 x 2.99 x 0.28 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~78.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,"Android 7.1 (Nougat), Amigo 5",Mediatek Helio P30 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),Mali-G71 MP2,microSDXC,64GB 6GB RAM,8 MP,"LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",Yes,Yes,"FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Sapphire Blue, Star Blue, Maple Red, Champagne Gold, Black",About 360 EUR,,,,,,,,,"Glass front, aluminum back, aluminum frame","16 MP, AF 8 MP",,Charging 10W,,,,,,,,,,,,,,,,,,,,
gionee,Gionee X1s,https://fdn2.gsmarena.com/vv/bigpic/gionee-x1s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",150.4 x 73.5 x 8.8 mm (5.92 x 2.89 x 0.35 in),166 g (5.86 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Corning Gorilla Glass 3,"Android 7 (Nougat), Amigo 4",Mediatek MT6737T (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),16GB 3GB RAM,"13 MP, AF","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 4000 mAh, non-removable","Black, Gold",About 13000 INR,,,,,,,,,,,,,X1S,Yes,Yes,,,,,,,,,,,,,,,,,
gionee,Gionee X1,https://fdn2.gsmarena.com/vv/bigpic/gionee-x1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, August","Available. Released 2017, August",144.3 x 72.2 x 8.8 mm (5.68 x 2.84 x 0.35 in),-,Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Android 7 (Nougat), Amigo 5",Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,16GB 2GB RAM,"8 MP, AF","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable","Black, Gold",About 9000 INR,,,,,,,,,,,,,X1,Yes,Yes,,,,,,,,,,,,,,,,,
gionee,Gionee P8 Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-p8-max.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, Q4",154.4 x 76.6 x 9.2 mm (6.08 x 3.02 x 0.36 in),-,Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Corning Gorilla Glass (unspecified version),"Android 6.0 (Marshmallow), Amigo 3.2",Mediatek MT6737T (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T720,microSDXC,32GB 3GB RAM,"13 MP, f/2.2, AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 3150 mAh, non-removable","Gold, Gray, White",,,,,,,,,,,,,Charging 10W,,Yes,Yes,,,,,,,,,,,,,,,,,
