Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1,Battery life,Performance,Display
gionee,Gionee A1 Lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1-lite-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, August",150.5 x 74.4 x 8 mm (5.93 x 2.93 x 0.31 in),161 g (5.68 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm2 (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",Corning Gorilla Glass 3,"Android 7 (Nougat), Amigo 4",Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","Dual-LED flash, HDR",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable","Gold, Black",About 15000 INR,,,,,,,,,,,,,A1 lite,,,,LED flash,,,,,,,,,,,,,,,
gionee,Gionee S10,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, May","Available. Released 2017, July",155 x 76.8 x 7.4 mm (6.10 x 3.02 x 0.29 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 7 (Nougat), Amigo 4",Mediatek MT6757T Helio P25 (16 nm),Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio; recording,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 3450 mAh, non-removable","Cherry Gold, Dark Black, Indigo Blue, Primrose Green",About 380 USD,,,,,,,,,,"16 MP, AF 8 MP",,,,,,,,,,,,,,,,,,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm 8 MP",,,
gionee,Gionee S10B,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10b.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, May","Available. Released 2017, July",154.5 x 76 x 7.6 mm (6.08 x 2.99 x 0.30 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 7 (Nougat), Amigo 4",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable","Black, Gold",About 240 USD,,,,,,,,,,"13 MP, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee S10C,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10c.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, May","Available. Released 2017, July",148.7 x 73.7 x 7.9 mm (5.85 x 2.90 x 0.31 in),151 g (5.33 oz),Hybrid Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"Android 7.1.1 (Nougat), Amigo 5",Qualcomm MSM8920 Snapdragon 427 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, f/2.0, PDAF","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass","Li-Po 3100 mAh, non-removable","Black, Gold, Green",About 200 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee M6s Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m6s-plus.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1900 / 2100,CDMA2000 1xEV-DO / TD-SCDMA,"1, 3, 5, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2017, April","Available. Released 2017, May",163.3 x 80.9 x 8.3 mm (6.43 x 3.19 x 0.33 in),215 g (7.58 oz),"Dual SIM (Nano-SIM, dual stand-by)",eMMC 5.1,"AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~75.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,"Android 6.0 (Marshmallow), Amigo 3.5",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53),Adreno 510,microSDXC (dedicated slot),"64GB 6GB RAM, 256GB 6GB RAM","12 MP, f/1.9, 1/2.55"", 1.4µm, PDAF","Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,Yes,"FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 6020 mAh, non-removable",Black,About 460 EUR,Up to 843 h (3G),Up to 51 h (3G),,,,,,,,,,Fast charging 18W Quick Charge 3.0 Reverse charging,,,,,,,,,,,,,,,,,,,,
gionee,Gionee A1 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, February","Available. Released 2017, May",166.4 x 83.3 x 9.1 mm (6.55 x 3.28 x 0.36 in),226 g (7.97 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,"Android 7 (Nougat), Amigo 4",Mediatek MT6757T Helio P25 (16 nm),Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","LED flash, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 4550 mAh, non-removable","Gray, Mocha Gold",About 370 EUR,,,,,,,,,,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF 5 MP, f/2.4, (depth)",,Charging 10W,A1 Plus,,,,,,,,,,,,,,,,,,,
gionee,Gionee A1,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2017, February","Available. Released 2017, April",154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),182 g (6.42 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass (unspecified version),"Android 7 (Nougat), Amigo 4",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","LED flash, HDR",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 4010 mAh, non-removable","Black, Gray, Gold",About 280 EUR,,,,,,,,,,,,Charging 10W,A1,,,,,,,,,,,,,,,,,,,
gionee,Gionee F5,https://fdn2.gsmarena.com/vv/bigpic/gionee-f5.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA2000 1xEV-DO / TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 2, 3, 5, 7, 8, 38","HSPA 42.2/5.76 Mbps, LTE","2017, January","Available. Released 2017, February",150 x 74.5 x 7.7 mm (5.91 x 2.93 x 0.30 in),162 g (5.71 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC,32GB 4GB RAM,"13 MP, AF","LED flash, panorama, HDR",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Gold, Rose gold",About 250 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee M2017,https://fdn2.gsmarena.com/vv/bigpic/gionee-m2017.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 4, 5, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, December","Available. Released 2016, December","155.2 x 77.6 x 7.4 mm, 10.8 cc (6.11 x 3.06 x 0.29 in)",238 g (8.40 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~74.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",,"Android 6.0.1 (Marshmallow), Amigo 3.5",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,No,128GB 6GB RAM,8 MP,"LED flash, panorama, HDR",4K@30fps,,,Yes,No,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 7000 mAh, non-removable","Black, Gold",About 1150 EUR,Up to 915 h (3G),Up to 25 h (3G),,,,,,,,"12 MP, PDAF 13 MP, 2x optical zoom",,Fast charging 18W Quick Charge 3.0,,,,,,,,,,,,,,,,,,,,
gionee,Gionee Steel 2,https://fdn2.gsmarena.com/vv/bigpic/gionee-steel-2.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA2000 1xEV-DO / TD-SCDMA,HSDPA 900 / 2100,eMMC 5.0,"1, 3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2016, December","Available. Released 2017, January",144.3 x 70.5 x 8.6 mm (5.68 x 2.78 x 0.34 in),160 g (5.64 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",S,"Android 6.0 (Marshmallow), Amigo 3.5",Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,microSDXC (dedicated slot),"16GB 3GB RAM, 32GB 3GB RAM","8 MP, AF","LED flash, panorama, HDR",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Jazz Gold, Gold Black",About 210 EUR,Up to 527 h (3G),Up to 45 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee S9,https://fdn2.gsmarena.com/vv/bigpic/gionee-s9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,3D Touch display,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.1,"1, 3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, November","Available. Released 2016, November",154.2 x 76.4 x 7.4 mm (6.07 x 3.01 x 0.29 in),168.2 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",24-bit/192kHz audio,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 4,"Android 6.0.1 (Marshmallow), Amigo 3.5",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,13 MP,"LED flash, panorama, HDR",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 3000 mAh, non-removable","Black, Gold, Rose Gold",About 370 EUR,,,,,,,,,,"13 MP, PDAF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee P7,https://fdn2.gsmarena.com/vv/bigpic/gionee-p7.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA2000 1xEV-DO / TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE","2016, December","Available. Released 2016, December",-,167 g (5.89 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",S,"Android 6.0 (Marshmallow), Amigo 3.2",,Quad-core 1.3 GHz,,microSDXC,16GB 2GB RAM,"8 MP, AF","LED flash, panorama, HDR",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Ion 2300 mAh, non-removable","White, Latte Gold, Grаy",About 140 EUR,,,,,,,,,,,,,P7,,,,,,,,,,,,,,,,,,,
gionee,Gionee P7 Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-p7-max-r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA,,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, October","Available. Released 2016, October",154 x 76.8 x 8.8 mm (6.06 x 3.02 x 0.35 in),183 g (6.46 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Android 6.0 (Marshmallow), Amigo 3.2",Mediatek MT6595,Octa-core 2.2 GHz,PowerVR G6200,microSDXC,32GB 3GB RAM,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 3100 mAh, removable",Gold,About 190 EUR,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,
gionee,Gionee F103 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-f103-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 1900 / 2100,,"3, 5, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, October",145.3 x 70.5 x 8.5 mm (5.72 x 2.78 x 0.33 in),143 g (5.04 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Asahi Dragontrail Glass,"Android 6.0 (Marshmallow), Amigo 3.2",,Quad-core 1.3 GHz,,No,16GB 3GB RAM,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 2400 mAh, removable","Gold, White, Gray",,Up to 387 h (3G),Up to 13 h 20 min (3G),0.54 W/kg (head)     0.75 W/kg (body),,,,,,,,,,F103 Pro,,,,,,,,,,,,,,,,,,,
gionee,Gionee S6s,https://fdn2.gsmarena.com/vv/bigpic/gionee-s6s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 1900 / 2100,,"3, 5, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",154.5 x 75.6 x 8.3 mm (6.08 x 2.98 x 0.33 in),166 g (5.86 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 3,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat), Amigo 3.2",Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 3150 mAh, non-removable","Mocha Gold, Latte Gold",About 280 EUR,Up to 400 h (2G) / Up to 394 h (3G),Up to 23 h (2G) / Up to 11 h 30 min (3G),0.26 W/kg (head)     0.47 W/kg (body),,,,,,,,,,S6s,,,,LED flash,,,,,,,,,,,,,,,
