Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Chipset,,Triple,Stand-by,Talk time,Features_1,Dual,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,NFC,Music play,Infrared port,Keyboard,Browser,SAR EU,SAR,Alert types
hp,HP Elite x3,https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, August",161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in),195 g (6.88 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","TFT Capacitive touchscreen, 16M colors","5.96 inches, 97.5 cm2 (~72.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~494 ppi density)",Microsoft Windows 10,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,microSDXC (uses shared SIM slot) - dual SIM model only,64GB 4GB RAM,"16 MP, f/2.2, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"3.0, Type-C 1.0 reversible connector; magnetic connector","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4150 mAh, non-removable",Qi/PMA wireless charging,Black,About 700 EUR,Qualcomm MSM8996 Snapdragon 820 (14 nm),IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions,,,,,,Corning Gorilla Glass 4,Tuned by Bang & Olufsen,Microsoft Continuum support,,,,,,,,,,,Yes,,,,,,,
hp,HP Slate 17,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg,No cellular connectivity,N/A,,,,"2014, September. Released 2014, September",Discontinued,418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in),2005 g (4.42 lb),No,"IPS LCD capacitive touchscreen, 16M colors","17.3 inches, 825.1 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",Android 4.4.2 (KitKat),Dual-core 1.58 GHz,,microSDHC (dedicated slot); SDHC,32GB 2GB RAM,0.9 MP,,720p@30fps,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.0, A2DP",No,No,USB 2.0,Accelerometer,"Li-Po (43 Wh, 3-cell)",,"Snow White, Sweet Yellow",About 370 EUR,Intel Celeron N2807,Built-in 2 kickstands,,,Up to 7 h 45 min (multimedia),,,,No,HDMI port,,,No,No,,,,,,,,,,,,,,
hp,HP Pro Slate 12,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,HSPA,"2015, January. Released 2015, January",Discontinued,300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in),850 g (1.87 lb),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","12.3 inches, 468.5 cm2 (~70.3% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~163 ppi density)",Android 4.4.4 (KitKat),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDHC (dedicated slot),32GB 2GB RAM,"8 MP, AF",HDR,1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass, barometer",Li-Po (21 Wh),,Silver,About 490 EUR,Qualcomm Snapdragon 800 (28 nm),HP Duet Pen,,,Up to 10 h (multimedia),,,Corning Concore Glass,eMMC 4.5,,,,,,,,,,,,Yes,,,,,,,
hp,HP Pro Slate 10 EE G1,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg,No cellular connectivity,N/A,,,,"2015, January. Released 2015, January",Discontinued,280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in),855 g (1.88 lb),No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~58.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 4.4.4 (KitKat),Quad-core 1.33 GHz,,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 2GB RAM","5 MP, AF or 2 MP, AF",,Yes,2 MP or 1.3 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",Yes,No,microUSB 2.0,"Accelerometer, compass","Li-Ion 8380 mAh, non-removable (28.5 Wh)",,Black,About 240 EUR,Intel Atom Z3735G,Optional mobile dock with standard QWERTY keyboard and trackpad,,,,,,,HDMI port,,,,No,No,,,,,,,,,,,,,,
hp,HP Pro Slate 8,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,HSPA,"2015, January. Released 2015, January",Discontinued,207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in),350 g (12.35 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.86 inches, 191.3 cm2 (~67.5% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~326 ppi density)",Android 4.4.4 (KitKat),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDHC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","8 MP, AF",HDR,1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass, barometer","Li-Po 5900 mAh, non-removable (21 Wh)",,Gray,About 390 EUR,Qualcomm Snapdragon 800 (28 nm),HP Duet Pen,,,,,,Corning Gorilla Glass 4,eMMC 4.5,,,,,,,,,,,,Yes,,,,,,,
hp,HP Slate6 VoiceTab II,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, November. Released 2014, November",Discontinued,165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in),160 g (5.64 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~72.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.2 (KitKat),Quad-core 1.2 GHz,,microSDXC,16GB 1GB RAM,"8 MP, AF",LED flash,Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, removable",,Silver,About 200 EUR,Marvell PXA1088,,,Up to 750 h (2G) / Up to 750 h (3G),Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G),,,,,,,,,,,,,,,,,,,,,0.54 W/kg (head)     0.28 W/kg (body),0.15 W/kg (head)     0.53 W/kg (body),
hp,HP 10 Plus,https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg,No cellular connectivity,N/A,,,,2014. Released 2014,Discontinued,265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in),660 g (1.46 lb),No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.8% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4.2 (KitKat),Quad-core 1.0 GHz,,microSDHC (dedicated slot),16GB 2GB RAM,"5 MP, AF",HDR,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro","Li-Po 7700 mAh, non-removable (28 Wh)",,Black/Silver,,,,,,Up to 6 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP 7 VoiceTab,https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA,,HSPA,"2014, October. Released 2014, October",Discontinued,192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in),305 g (10.76 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","6.95 inches, 135.9 cm2 (~69.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~171 ppi density)",Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,5 MP,LED flash,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",,Black/White,About 140 EUR,Mediatek MT8382 (28 nm),,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
hp,HP 7 Plus,https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg,No cellular connectivity,N/A,,,,"2014, May. Released 2014, May",Discontinued,192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in),294.8 g (10.37 oz),No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~58.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.0 GHz Cortex-A7,,microSDHC (dedicated slot),8GB 1GB RAM,2 MP,,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,No,microUSB 2.0,Accelerometer,"Li-Po 2800 mAh, non-removable",,Silver,About 70 EUR,Allwinner A31,,,,Up to 5 h 30 min (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP 8,https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg,No cellular connectivity,N/A,,,,"2014, February. Released 2014, March",Discontinued,200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in),313 g (11.04 oz),No,"IPS LCD capacitive touchscreen, 16M colors","7.85 inches, 190.8 cm2 (~69.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~163 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.0 GHz Cortex-A7,,microSDHC (dedicated slot),16GB 1GB RAM,2 MP,,Yes,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0,"Accelerometer, gyro","Li-Po 3800 mAh, non-removable",,Silver,About 120 EUR,Allwinner A31,,,,Up to 7 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate7 VoiceTab Ultra,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20, 40","HSPA, LTE",2014. Released 2014,Discontinued,183.5 x 103.9 x 7.2 mm (7.22 x 4.09 x 0.28 in),239 g (8.43 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~74.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.6 GHz Cortex-A9,,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable (19 Wh)",,Champagne,About 400 EUR,HiSilicon Balong V9R1,,,Up to 480 h (3G),Up to 10 h (multimedia) (3G),,,,,,,,,,,,,,,,,,,,,,,
hp,HP Slate7 VoiceTab,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,,HSPA,"2014, January. Released 2014, February",Discontinued,9.5 mm thickness,325 g (11.46 oz),Dual SIM (Mini-SIM & Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF","LED flash, panorama",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 4100 mAh, non-removable",,Black/White,About 180 EUR,Marvell PXA1088,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
hp,HP Slate6 VoiceTab,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, January. Released 2014, February",Discontinued,165 x 83.2 x 8.8 mm (6.50 x 3.28 x 0.35 in),160 g (5.64 oz),"Dual SIM, (dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~72.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.3 (Jelly Bean),Quad-core 1.2 GHz,,microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, AF","LED flash, panorama",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, removable",,Black,About 270 EUR,Marvell PXA1088,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP Slate8 Pro,https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6 g (1.00 lb),No,"Capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2 (~63.7% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~250 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.8 GHz Cortex-A15,,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",LED flash,Yes,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, LE",Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 5680 mAh, non-removable",,Black/White,About 240 EUR,Nvidia Tegra 4 T40 S,,,,Up to 11 h 30 min (multimedia),,,Corning Gorilla Glass 3,Beats Audio,HDMI port,,,No,No,,,,,,,,,,,,,,
hp,HP Slate10 HD,https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,259 x 178 x 9.7 mm (10.20 x 7.01 x 0.38 in),626 g (1.38 lb),No,"Capacitive touchscreen, 16M colors","10.0 inches, 290.0 cm2 (~62.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~151 ppi density)",Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,1080p@30fps,2 MP,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",3.0,Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 7000 mAh, non-removable",,Black/Silver,About 220 EUR,Marvell PXA986,Beats Audio,,,Up to 10 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate7 Extreme,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,200 x 120 x 9.4 mm (7.87 x 4.72 x 0.37 in),319.8 g (11.25 oz),No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~59.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.8 GHz Cortex-A15,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,720p,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 4100 mAh, non-removable",,Black/Silver,About 150 EUR,Nvidia Tegra 4,,,,Up to 10 h 30 min (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate7 Plus,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,194.7 x 122.7 x 10.7 mm (7.67 x 4.83 x 0.42 in),340.2 (11.99 oz),No,"Capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~59.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A9,,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",,720p,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,microUSB 2.0,"Accelerometer, compass","Li-Po 4000 mAh, non-removable",,Black/Silver,About 110 EUR,Nvidia Tegra 3,,,,Up to 7 h 30 min (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate 7,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-7-new.jpg,No cellular connectivity,N/A,,,,"2013, February. Released 2013, April",Discontinued,197.1 x 116.1 x 10.7 mm (7.76 x 4.57 x 0.42 in),372 g (13.12 oz),No,"FFS+ LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~60.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.1 (Jelly Bean),Dual-core 1.6 GHz Cortex-A9,,microSDHC (dedicated slot),8GB 1GB RAM,3.15 MP,,720p@30fps,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, DLNA","2.1, A2DP, EDR",No,No,microUSB 2.0,Accelerometer,"Li-Ion, non-removable",,"Black/Silver, Red",About 130 EUR,,,,,Up to 5 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP TouchPad 4G,https://fdn2.gsmarena.com/vv/bigpic/hp-touchpad-4g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA,"2011, July",Cancelled,240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),740 g (1.63 lb),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~63.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)",HP webOS 3.0,Dual-core 1.2 GHz Scorpion,Adreno 220,No,32GB 1GB RAM,1.3 MP,,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, compass",Non-removable Li-Ion 6300 mAh battery,,Black,,Qualcomm APQ8060 Snapdragon S3,No,,Up to 300 h,Up to 6 h,,,,Touchstone technology SNS applications MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer/editor Predictive text input,,,,,,,,,,,,,,,,,,,
