Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages
i_mate,i-mate 810-F,https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 7.2/0.384 Mbps,"2009, February. Released 2009",Discontinued,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),150 g (5.29 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.46 inches, 18.7 cm2 (~25.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~163 ppi density)",,Microsoft Windows Mobile 6.1 Professional,624 MHz Marvell PXA310,No,2GB 128MB RAM,2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,"Accelerometer, compass","WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)",Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Removable Li-Po 1200 mAh battery,Up to 200 h,Up to 3 h 30 min,Blue,About 550 EUR,,,,,,,,,
i_mate,i-mate Ultimate 9502,https://fdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, October. Released 2008, March",Discontinued,116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in),200 g (7.05 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~34.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",2.5 mm audio jack,Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,,"WAP 2.0/xHTML, HTML (PocketIE)","Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager TV-out i-mate GPRS Configurator(WAP, MMS)",Removable Li-Po 1620 mAh battery,Up to 180 h,Up to 4 h 20 min,Black,About 410 EUR,Qualcomm MSM7200,Adreno 130,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
i_mate,i-mate Ultimate 8502,https://fdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, October. Released 2008, September",Discontinued,116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in),140 g (4.94 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.6 inches, 20.9 cm2 (~32.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~154 ppi density)",No,Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,,"WAP 2.0/xHTML, HTML (PocketIE)",2.5 mm audio jack,Removable Li-Ion 1530 mAh battery,Up to 180 h,Up to 4 h 30 min,Black,About 200 EUR,Qualcomm MSM7200,Adreno 130,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones","Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager TV-out i-mate GPRS Configurator(WAP, MMS) 360Â° Jog wheel",,,,
i_mate,i-mate JAMA 201,https://fdn2.gsmarena.com/vv/bigpic/imate-jama201.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, October. Released 2008, October",Discontinued,113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in),152 g (5.36 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~25.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",No,Microsoft Windows Mobile 6.0 Professional,SAMSUNG SC3 2442X 300MHz,microSD (dedicated slot),"64MB RAM, 128MB ROM","2 MP, AF",Yes,,,Yes,No,No,1.1,No,No,miniUSB 1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Removable Li-Ion 1050 mAh battery,Up to 150 h,Up to 4 h,Black,About 250 EUR,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",,Class 10,No,,
i_mate,i-mate JAMA 101,https://fdn2.gsmarena.com/vv/bigpic/imate-jama101.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, October",Cancelled,105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in),110 g (3.63 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Handwriting recognition 4-way navigation pad,Microsoft Windows Mobile 6.0 Professional,SAMSUNG SC3 2442X 300MHz,microSD,"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,No,1.2,No,No,miniUSB 1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1020 mAh battery,Up to 150 h,Up to 4 h,Black,About 250 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Class 10,No,,
i_mate,i-mate JAMA,https://fdn2.gsmarena.com/vv/bigpic/imate-jama.gif,GSM,GSM 900 / 1800,,,"2007, June",Discontinued,106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in),110 g (3.88 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~32.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Handwriting recognition 4-way navigation pad,Microsoft Windows Mobile 5.0 PocketPC,Samsung SC3 2442X 300MHz,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,No,1.2,No,No,miniUSB 1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1000 mAh battery,Up to 150 h,Up to 4 h,Silver,About 200 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office   Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Class 10,No,,
i_mate,i-mate Ultimate 9150,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, February",Cancelled,98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in),,,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.6 inches, 20.9 cm2 (~42.7% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~308 ppi density)","Second OLED, 1.2 inches display Handwriting recognition",Microsoft Windows Mobile 6.0 Professional,Intel Bulverde 520 MHz,microSD,"128MB RAM, 256MB ROM",2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,Removable Li-Ion 1400 mAh battery,,,Silver,About 410 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate Ultimate 8150,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, February",Discontinued,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.6 inches, 20.9 cm2 (~29.2% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~308 ppi density)",Handwriting recognition,Microsoft Windows Mobile 6.0 Professional,Intel XScale PXA270 520 MHz,microSD (dedicated slot),"128MB RAM, 256MB ROM","2 MP, AF",Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,Removable Li-Ion 1530 mAh battery,,,Silver,About 260 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate Ultimate 7150,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, February",Cancelled,110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in),180 g (6.35 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","3.8 inches, 44.7 cm2 (~54.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~211 ppi density)","Second OLED, 2.2 inches display (128 x 128 pixels) Handwriting recognition",Microsoft Windows Mobile 6.0 Professional,Intel Bulverde 520 MHz,microSD,"128MB RAM, 256MB ROM",2 MP,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,Removable Li-Ion 1400 mAh battery,,,Silver,About 300 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate Ultimate 6150,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, February. Released 2008, January",Discontinued,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~33.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",Handwriting recognition,Microsoft Windows Mobile 6.0 Professional,Intel Bulverde 520 MHz,microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,Removable Li-Ion 1530 mAh battery,,,Silver,About 260 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate Ultimate 5150,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim5150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2007, February",Cancelled,117 x 60.5 x 19.5 mm (4.61 x 2.38 x 0.77 in),,,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~34.3% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",Handwriting recognition,Microsoft Windows Mobile 6.0 Professional,Intel Bulverde 520 MHz,microSD,"128MB RAM, 256MB ROM",2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,Removable Li-Ion 1400 mAh battery,,,Silver,About 300 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate JAQ4,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq4.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2007, February",Cancelled,125 x 71 x 15.5 mm (4.92 x 2.80 x 0.61 in),184 g (6.49 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~27.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",Handwriting recognition,Microsoft Windows Mobile 6.0 Professional,200 MHz ARM926EJ-S,miniSD,"64MB RAM, 128MB ROM","2 MP, AF",Yes,,,Yes,No,Wi-Fi 802.11 b/g,1.2,Yes,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1660 mAh battery,Up to 200 h,Up to 5 h,Black,About 150 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager Pocket Office,Class 10,Class 10,Yes,
i_mate,i-mate PDAL,https://fdn2.gsmarena.com/vv/bigpic/imate-pdal.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, November",Discontinued,112 x 56 x 17 mm (4.41 x 2.20 x 0.67 in),116 g (4.09 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~28.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"1.2, A2DP",No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1100 mAh battery,Up to 150 h,Up to 4 h,Silver,About 220 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager,Class 10,Class 10,,
i_mate,i-mate JAQ3,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq3.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, November",Discontinued,126 x 67.5 x 14.5 mm (4.96 x 2.66 x 0.57 in),160 g (5.64 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.5 inches, 19.4 cm2 (~22.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"1.2, A2DP",No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1200 mAh battery,Up to 150 h,Up to 4 h,Black,About 240 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager,Class 10,Class 10,Yes,
i_mate,i-mate SPL,https://fdn2.gsmarena.com/vv/bigpic/imate-spl.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, September",Discontinued,114.5 x 49 x 12 mm (4.51 x 1.93 x 0.47 in),102 g (3.60 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",GSM 850 / 1800 / 1900 - US version,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,miniSD,"64MB RAM, 128MB ROM",2 MP,QCIF,,,Yes,No,No,1.2,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",5-way navigation,Removable Li-Ion 1100 mAh battery,Up to 150 h,Up to 4 h,Black,About 130 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Voice memo MP3/AAC player File explorer Predictive text input,Class 10,No,,
i_mate,i-mate JAQ,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, September",Discontinued,122 x 71 x 22 mm (4.80 x 2.80 x 0.87 in),160 g (5.64 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~28.0% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,miniSD,"64MB RAM, 128MB ROM",,,,,Yes,No,No,1.2,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1440 mAh battery,Up to 150 h,Up to 4 h,Silver,About 180 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager Predictive text input,Class 10,Class 10,Yes,
