Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC
icemobile,Icemobile Hydro,https://fdn2.gsmarena.com/vv/bigpic/icemobile-hydro.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,2013. Released 2013,Discontinued,114 x 54 x 11.8 mm (4.49 x 2.13 x 0.46 in),85 g (3.00 oz),,Yes,TFT,"2.0 inches, 12.6 cm2 (~20.5% screen-to-body ratio)",144 x 176 pixels (~114 ppi density),IP54 splash proof Flashlight,,,microSDHC (dedicated slot),,1.3 MP,Yes,,,Yes,No,No,2.0,No,FM radio,microUSB 2.0,,,No,"Li-Ion 500 mAh, removable",Up to 80 h,Up to 5 h,"Black, White, Blue",,,,,,MP3/MP4 player,Yes,No,,,500 contacts,100 entries,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Rock Bold,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-bold.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),46 g (w/out battery) (1.62 oz),,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),Flashlight,,,microSD (dedicated slot),,1.3 MP,Yes,,,Yes,No,No,No,No,Stereo FM radio,miniUSB (charging only),,,No,"Li-Ion 700 mAh, removable",Up to 180 h,Up to 6 h,"Black, White, Red, Blue",,,,,,MP3/MP4 player Predictive text input,Class 10,No,,,500 contacts,"20 dialed, 20 received, 20 missed calls","SMS, MMS",No,No,,,
icemobile,Icemobile G2,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g2.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2013, July. Released 2013, July",Discontinued,195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in),450 g (0.99 lb),,Yes,TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~57.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Flashlight,Android OS,,microSDHC (dedicated slot),,3.15 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, EDR",Yes,No,2.0,Accelerometer,,Analog TV,"Li-Po 2800 mAh, non-removable",Up to 120 h,Up to 4 h,"White, Black",,,,,,,Class 12,Yes,Yes,,,,,,,,,
icemobile,Icemobile Gprime Extreme,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,2013. Released 2013,Discontinued,143 x 72.8 x 10 mm (5.63 x 2.87 x 0.39 in),125 g (4.41 oz),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),,"8 MP, AF",Yes,2 MP,,No,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1600 mAh, removable",Up to 240 h,Up to 6 h,"Black, White",,Mediatek MT6589 (28 nm),PowerVR SGX544,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile G7,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2013, April. Released 2013, April",Discontinued,195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in),450 g (0.99 lb),,Yes,TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~57.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Flashlight,Android OS,,microSDHC (dedicated slot),,3.15 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, EDR",Yes,No,2.0,Accelerometer,,Analog TV,"Li-Po 2800 mAh, non-removable",Up to 120 h,Up to 4 h,"White, Black",,,,,,,,,Yes,,,,,,,,,
icemobile,Icemobile G5,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g51.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2013, January. Released 2013, January",Discontinued,196.6 x 123.3 x 11.1 mm (7.74 x 4.85 x 0.44 in),345 g (12.17 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~56.9% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio",Analog TV,Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,microSDHC (dedicated slot),,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,FM radio,2.0,Accelerometer,,,"Li-Po 3000 mAh, non-removable",,,White/Black,,Mediatek MT6575 (40 nm),PowerVR SGX531,,,,,,Yes,,,,,,,,,
icemobile,Icemobile Tropical 3,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical3.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2011, November. Released 2012, November",Discontinued,103 x 55 x 13.3 mm (4.06 x 2.17 x 0.52 in),-,QWERTY,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~18.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSDHC (dedicated slot),,VGA,,,,Yes,Yes,No,Yes,No,Stereo FM radio,miniUSB,,,Flashlight,"Li-Ion 800 mAh, removable",Up to 180 h,Up to 7 h,"Black, Red, Blue, Silver, White",,,,,,MP3/MP4 player Predictive text input,Class 10,No,,,500 entries,20 entries,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Quattro,https://fdn2.gsmarena.com/vv/bigpic/icemobile-quattro.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, November. Released 2012, November",Discontinued,104 x 54 x 10.3 mm (4.09 x 2.13 x 0.41 in),-,QWERTY,Dual SIM (Mini-SIM),TFT,"2.3 inches, 16.4 cm2 (~29.2% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSDHC (dedicated slot),,Yes,,,,Yes,Yes,No,Yes,No,Stereo FM radio,miniUSB,,,Flashlight,"Li-Ion 1500 mAh, removable (BP-4L)",Up to 220 h,Up to 8 h,"White, Black, Silver, Blue, Red",,,,,,MP4/H.263 player MP3 player Predictive text input,Class 10,No,,,300 entries,20 entries,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Prime Plus,https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA,"2012, October. Released 2012, October",Discontinued,141.6 x 76.1 x 10.5 mm (5.57 x 3.00 x 0.41 in),135 g (4.76 oz),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"5.0 inches, 71.2 cm2 (~66.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",HSDPA 2100,Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A5,microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",Yes,VGA,,No,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, EDR","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,"Li-Ion 2150 mAh, removable",Up to 120 h,Up to 8 h,"Black, White",,Qualcomm MSM8225 Snapdragon S4 Play,Adreno 203,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Submarine,https://fdn2.gsmarena.com/vv/bigpic/icemobile-submarine.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2012, October. Released 2012, October",Discontinued,119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in),135 g (4.76 oz),,Dual SIM (Mini-SIM),TFT,"2.0 inches, 12.6 cm2 (~20.1% screen-to-body ratio)",176 x 144 pixels (~114 ppi density),Flashlight,,,microSDHC (dedicated slot),,1.3 MP,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,1.1,,,No,"Li-Ion 1800 mAh, removable",Up to 550 h,Up to 12 h,"Black, Orange, Gray",,,,,,,Yes,No,,,300 entries,Yes,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Charm,https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, October. Released 2012, October",Discontinued,92 x 43.5 x 20.8 mm (3.62 x 1.71 x 0.82 in),-,,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~25.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSDHC (dedicated slot),,VGA,No,,,Yes,No,No,Yes,No,Stereo FM radio,miniUSB (charging only),,,Flashlight,"Li-Ion 800 mAh, removable",Up to 150 h,Up to 7 h,"Black, Red, Silver, Blue, Pink",,,,,,MP3/MP4 player Predictive text input,Class 10,No,,,200 contacts,Yes,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Apollo Touch,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, October. Released 2012, October",Discontinued,-,-,,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm2","320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 2,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,microSDHC (dedicated slot),,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,microUSB 2.0,Accelerometer,,MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo viewer/editor,"Li-Ion 1200 mAh, removable",,,"White, Black, Pink, Blue, Green, Red, Yellow",,Mediatek MT6515,PowerVR SGX531,,,,Class 12,Yes,,,,,,,,,,
icemobile,Icemobile Apollo,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, October. Released 2012, October",Discontinued,-,-,QWERTY,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"2.6 inches, 20.1 cm2","480 x 320 pixels, 3:2 ratio (~222 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 2,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,microSDHC (dedicated slot),,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,microUSB 2.0,Accelerometer,,MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo viewer/editor,"Li-Ion 1200 mAh, removable",,,"White, Black, Pink, Blue, Green, Red",,Mediatek MT6515,PowerVR SGX531,,,,Class 12,Yes,,,,,,,,,,
icemobile,Icemobile Sol II,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, August. Released 2012, August",Discontinued,101 x 55.6 x 12.6 mm (3.98 x 2.19 x 0.50 in),65 g (2.29 oz),,Dual SIM (Mini-SIM),"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~43.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSDHC (dedicated slot),,1.3 MP,Yes,,,Yes,Yes,No,Yes,No,Stereo FM radio,miniUSB (charging only),,,Flashlight,Removable Li-Ion 1000 mAh battery,Up to 200 h,Up to 8 h,"Black, Red, Pink, White, Blue",,,,,,TV app Organizer MP4 player MP3 player Predictive text input,Class 10,No,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,,,
icemobile,Icemobile Diamond Dust,https://fdn2.gsmarena.com/vv/bigpic/icemobile-diamond-dust.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, August. Released 2012, August",Discontinued,115 x 61 x 12.8 mm (4.53 x 2.40 x 0.50 in),-,QWERTY,Dual SIM (Mini-SIM),TFT,"2.2 inches, 15.3 cm2 (~21.8% screen-to-body ratio)",176 x 144 pixels (~103 ppi density),GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSDHC (dedicated slot),16MB ROM,VGA,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,No,FM radio,Proprietary,,,No,Removable Li-Ion 950 mAh battery,,,"White, Black, Pink, Blue, Violet",,Mediatek MT6252C,,,,TV app MP3/3gp player Organizer E-book reader Unit converter,Class 12,No,,,300 entries,Yes,"SMS, MMS",Yes,Yes,,,
icemobile,Icemobile Blizzard,https://fdn2.gsmarena.com/vv/bigpic/icemobile-blizzard.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2012, May",Discontinued,106.3 x 46 x 13.5 mm (4.19 x 1.81 x 0.53 in),-,,"Dual SIM (Mini-SIM, dual stand-by)",TFT,"2.0 inches, 12.6 cm2 (~25.7% screen-to-body ratio)",176 x 220 pixels,GSM 850 / 1900 - SIM 1 & SIM 2,,,microSD (dedicated slot),128MB 32MB,VGA,Yes,,,Yes,No,No,"2.0, A2DP",No,FM radio,microUSB,,,Flashlight,Removable Li-Ion 1000 mAh battery,Up to 100 h,Up to 2 h 10 min,"Black, Silver, Red, Blue, Pink",,,,,,Mobile TV MP3/MP4 player Organizer Predictive text input,Yes,No,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email, IM",No,No,,,
icemobile,Icemobile Rock Lite,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-lite.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, May",Discontinued,108 x 47 x 13.9 mm (4.25 x 1.85 x 0.55 in),51 g without battery (1.80 oz),,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~20.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSD (dedicated slot),,,,,,Yes,No,No,No,No,Stereo FM radio,miniUSB (charging only),,,Flashlight,Removable Li-Ion 700 mAh battery,Up to 180 h,Up to 6 h,"Black, Red, White, Red, Silver",,,,,,MP3/MP4 player Predictive text input,No,No,,,200 contacts,"20 dialed, 20 received, 20 missed calls",SMS,No,No,,,
icemobile,Icemobile Cenior,https://fdn2.gsmarena.com/vv/bigpic/icemobile-cenior.jpg,GSM,GSM 850 / 1900 - SIM 1 & SIM 2,,,"2012, May",Discontinued,110 x 46 x 16 mm (4.33 x 1.81 x 0.63 in),-,,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~20.2% screen-to-body ratio)",128 x 160 pixels,GSM 900 / 1800 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),64MB 32MB,VGA,Yes,,,Yes,No,No,"2.0, A2DP (optional)",No,FM radio,microUSB,,,Flashlight,Removable Li-Ion 1200 mAh battery,Up to 150 h,Up to 3 h 20 min,"Black, Brown, Red",,,,,,MP3/MP4 player Organizer,Yes,No,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email, IM",No,No,,,
icemobile,Icemobile Acqua,https://fdn2.gsmarena.com/vv/bigpic/icemobile-acqua.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2012, April. Released 2012, September",Discontinued,120 x 54 x 23 mm (4.72 x 2.13 x 0.91 in),168 g (5.93 oz),,Mini-SIM,TFT,"1.77 inches, 9.9 cm2 (~15.2% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),IP68 dust/water resistant (up to 1.5m for 30 mins) Flashlight,,,No,2GB,1.3 MP,Yes,,,Yes,No,No,Yes,No,FM radio (external),1.1,,,No,Removable Li-Ion 3600 mAh battery,Up to 600 h,Up to 24 h,"Black, Orange, Green",,,,,,,Class 12,No,,,500 entries,Yes,"SMS, MMS",Yes,No,,,
icemobile,Icemobile Prime,https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,HSPA 7.2/5.76 Mbps,2012,Discontinued,-,-,,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"5.2 inches, 77.0 cm2","480 x 800 pixels, 5:3 ratio (~179 ppi density)",MP3/WAV/WMA/AAC player MP4/H.263 player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input,Android 2.3 (Gingerbread),650 MHz Cortex-A9,microSDHC (dedicated slot),512MB 512MB RAM,"5 MP, AF",Yes,VGA,,No,Yes,"Wi-Fi 802.11 b/g, hotspot",2.0,"Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,Removable Li-Ion 2200 mAh battery,,,"Black, White",,Mediatek MT6573 (65 nm),PowerVR SGX531,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Rock Mini,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-mini.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"2012, March",Discontinued,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),46 g without battery (1.62 oz),,Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),GSM 850 / 900 / 1800 / 1900 - SIM 2,,,microSD (dedicated slot),,1.3 MP,Yes,,,Yes,No,No,No,No,Stereo FM radio,miniUSB (charging only),,,Flashlight,Removable Li-Ion 700 mAh battery,Up to 180 h,Up to 6 h,"Black, White, Red, Silver",,,,,,MP3/MP4 player Predictive text input,Class 10,No,,,500 contacts,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,,,
