Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
microsoft,Microsoft Surface Duo,https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 66","HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/100 Mbps","2020, August 12","Available. Released 2020, September 10",Unfolded: 186.9 x 145.2 x 4.8 mm Folded: 145.2 x 93.3 x 9.9 mm,250 g (8.82 oz),"Nano-SIM, eSIM",Stylus support,"AMOLED capacitive touchscreen, 16M colors","8.1 inches, 195.4 cm2 (~144.2% screen-to-body ratio)","1800 x 2700 pixels, 3:2 ratio (~401 ppi density)",Android 10,Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 6GB RAM",,,"4K@30/60fps, 1080p@30/60fps, gyro-EIS","11 MP, f/2.0, 23mm (wide), 1.0µm, PDAF","4K@30/60fps, 1080p@30/60fps, gyro-EIS",Yes,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX Adaptive","Yes, with A-GPS",,No,USB Type-C 3.1,"Fingerprint (side-mounted), accelerometer, proximity","Li-Po 3577 mAh, non-removable",White,"Folded position display: 5.6 inches, AMOLED, 1350 x 1800 pixels (4:3)",,,,UFS 3.0,,Fast charging 18W,About 1200 EUR,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5)",Corning Gorilla Glass 5,,,,,,,,,,,,,,Uses main camera,,,,,,,,,,,,,,,,,,,,,
microsoft,Microsoft Lumia 650,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, February",142 x 70.9 x 6.9 mm (5.59 x 2.79 x 0.27 in),122 g (4.30 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",ClearBlack display,"OLED capacitive touchscreen, 16M colors","5.0 inches, 67.5 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~297 ppi density)",Microsoft Windows 10,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),Quad-core 1.3 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),16GB 1GB RAM,,LED flash,720p@30fps,"8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","Black, White",eMMC 4.5,,,,,,,About 150 EUR,,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Corning Gorilla Glass 3,,,"Contrast ratio: Infinite (nominal), 3.77(sunlight)",Photo,,Endurance rating 55h,,,,,,,,"5 MP, f/2.2",,,,,,,,,Up to 624 h (3G),,,Up to 16 h (2G) / Up to 13 h (3G),,,,,,,,,
microsoft,Microsoft Lumia 950 XL Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, October. Released 2015, December",Discontinued,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",ClearBlack display,"AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~75.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC (dedicated slot),32GB 3GB RAM,,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,USB Type-C 3.1,"Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core","Li-Ion 3340 mAh, removable","Black, White",eMMC 5.0,,,,Microsoft Continuum support,,Fast charging 18W Qi wireless charging - market dependent,About 350 EUR,,,Corning Gorilla Glass 4,,Basemark OS II 2.0: 1472Basemark X: 32178,"Contrast ratio: Infinite (nominal), 3.837 (sunlight)",,Voice 74dB / Noise 75dB / Ring 84dB,Endurance rating 47h,,,,,,,,"5 MP, f/2.4",,,,Noise -91.6dB / Crosstalk -89.3dB,,,,,Up to 288 h (2G) / Up to 288 h (3G),,,Up to 25 h (2G) / Up to 19 h (3G),,,,,Up to 75 h,,,,
microsoft,Microsoft Lumia 950 XL,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 20, 28, 38, 40 - EMEA","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, October. Released 2015, November",Discontinued,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),165 g (5.82 oz),Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA","AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm2 (~74.3% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)",Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC (dedicated slot),32GB 3GB RAM,,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,USB Type-C 3.1,"Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core","Li-Ion 3340 mAh, removable","Black, White",ClearBlack display,,,,Microsoft Continuum support,,Fast charging 18W Qi wireless charging - market dependent,About 350 EUR,,,Corning Gorilla Glass 4,,Basemark OS II 2.0: 1472Basemark X: 32178,"Contrast ratio: Infinite (nominal), 3.837 (sunlight)",Photo / Video,Voice 74dB / Noise 75dB / Ring 84dB,Endurance rating 62h,,,,,,,,"5 MP, f/2.4",,,,Noise -91.6dB / Crosstalk -89.3dB,,,,,Up to 288 h (2G) / Up to 288 h (3G),,,Up to 25 h (2G) / Up to 19 h (3G),,,,,Up to 75 h,,,,
microsoft,Microsoft Lumia 950 Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, October. Released 2015, December",Discontinued,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",ClearBlack display,"AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,microSDXC (dedicated slot),32GB 3GB RAM,,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,USB Type-C 3.1,"Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core","Li-Ion 3000 mAh, removable","Black, White",eMMC 5.0,,,,Microsoft Continuum support,,Qi wireless charging - market dependent Fast charging 18W,About 280 EUR,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,"5 MP, f/2.4",,,,,,,,,Up to 288 h (2G) / Up to 288 h (3G),,,Up to 23 h (2G) / Up to 18 h (3G),,,,,Up to 67 h,,,,
microsoft,Microsoft Lumia 950,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40 - EMEA","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, October. Released 2015, November",Discontinued,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),150 g (5.29 oz),Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA","AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.8 cm2 (~70.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~564 ppi density)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,microSDXC (dedicated slot),32GB 3GB RAM,,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,USB Type-C 3.1,"Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core","Li-Ion 3000 mAh, removable","Black, White",ClearBlack display,,,,Microsoft Continuum support,,Fast charging 18W Qi wireless charging - market dependent,About 280 EUR,,,Corning Gorilla Glass 3,,Basemark OS II 2.0: 1281Basemark X: 26330,"Contrast ratio: Infinite (nominal), 3512 (sunlight)",Photo / Video,Voice 71dB / Noise 73dB / Ring 77dB,Endurance rating 48h,,,,,,,,"5 MP, f/2.4",,,,Noise -91.3dB / Crosstalk -91.6dB,,,,,Up to 288 h (2G) / Up to 288 h (3G),,,Up to 23 h (2G) / Up to 18 h (3G),,,,,Up to 67 h,,,,
microsoft,Microsoft Lumia 550,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, October. Released 2015, December",Discontinued,136.1 x 67.8 x 9.9 mm (5.36 x 2.67 x 0.39 in),141.9 (5.01 oz),Nano-SIM,eMMC 4.5,"IPS LCD, capacitive touchscreen, 16M colors","4.7 inches, 59.7 cm2 (~64.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~315 ppi density)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,720p@30fps,"5 MP, f/2.4, 1/4.0"", AF",480p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2100 mAh, removable","Black, White",,,,,,,,About 90 EUR,,,,,,,Photo / Video,,Endurance rating 42h,,,,,,,,"2 MP, f/2.8",,,,,,,,,Up to 672 h (2G) / Up to 672 h (3G),,,Up to 16 h (2G) / Up to 14 h (3G),,,,,Up to 60 h,,,,
microsoft,Microsoft Lumia 540 Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 42.2/5.76 Mbps,"2015, April. Released 2015, May",Discontinued,144 x 73.7 x 8.6 mm (5.67 x 2.90 x 0.34 in),152 g (5.36 oz),"Dual SIM (Micro-SIM, dual stand-by)",ClearBlack display,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Microsoft Windows Phone 8.1 with Lumia Denim,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,480p@30fps,"8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",480p,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable","Orange, white, black, gray, blue",eMMC 4.5,,,,,,,About 100 EUR,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,Up to 576 h (2G) / Up to 576 h (3G),,,Up to 26 h (2G) / Up to 15 h (3G),,,,,Up to 81 h,,,,
microsoft,Microsoft Lumia 430 Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 42.2/5.76 Mbps,"2015, March. Released 2015, May",Discontinued,120.5 x 63.2 x 10.6 mm (4.74 x 2.49 x 0.42 in),127.9 g (4.52 oz),"Dual SIM (Micro-SIM, dual stand-by)",eMMC 4.5,"IPS LCD, capacitive touchscreen, 16M colors","4.0 inches, 44.8 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~235 ppi density)","Microsoft Windows Phone 8.1, upgradable to Windows 10",Qualcomm MSM8210 Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC (dedicated slot),8GB 1GB RAM,,,480p@30fps,"2 MP, f/2.2, 1/5.0""",480p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","A-GPS, GLONASS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1500 mAh, removable","Black, Orange",,,,,,,,About 70 EUR,,,,,,,,,,,,,,,,,VGA,,,,,,,,,Up to 720 h (2G) / Up to 720 h (3G),,,Up to 13 h (2G) / Up to 8 h 30 min (3G),,,,,Up to 47 h,,,,
microsoft,Microsoft Lumia 640 XL LTE Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g-ds.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, April",Discontinued,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),171 g (6.03 oz),"Dual SIM (Micro-SIM, dual stand-by)",ClearBlack display,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 88.9 cm2 (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~259 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm MSM8226 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,,"Zeiss optics, LED flash",1080p@30fps,"13 MP, f/2.0, 28mm (wide), 1/3"", AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass, sensor core","Li-Ion 3000 mAh, removable","Matte cyan, Orange, Black, Matte white, Glossy white",eMMC 4.5,,,,,,,About 200 EUR,,,Corning Gorilla Glass 3,,,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",,Voice 72dB / Noise 67dB / Ring 73dB,Endurance rating 74h,,,,,,,,5 MP,,,,Noise -93.0dB / Crosstalk -94.4dB,,,,,Up to 936 h (2G) / Up to 936 h (3G),,,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),,,,,,,,,
microsoft,Microsoft Lumia 640 XL LTE,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, April",Discontinued,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),171 g (6.03 oz),Micro-SIM,ClearBlack display,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 88.9 cm2 (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~259 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm MSM8226 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,,"Zeiss optics, LED flash",1080p@30fps,"13 MP, f/2.0, 28mm (wide), 1/3"", AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass, sensor core","Li-Ion 3000 mAh, removable","Matte cyan, Orange, Black, Matte white, Glossy white",eMMC 4.5,,,,,,,About 200 EUR,,,Corning Gorilla Glass 3,,,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",,Voice 72dB / Noise 67dB / Ring 73dB,Endurance rating 74h,,,,,,,,5 MP,,,,Noise -93.0dB / Crosstalk -94.4dB,,,,,Up to 888 h (2G) / Up to 888 h (3G),,,Up to 30 h 20 min (2G) / Up to 24 h (3G),,,,,,,,,
microsoft,Microsoft Lumia 640 XL Dual SIM,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g-ds.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 42.2/5.76 Mbps,"2015, March. Released 2015, April",Discontinued,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),171 g (6.03 oz),"Dual SIM (Micro-SIM, dual stand-by)",ClearBlack display,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 88.9 cm2 (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~259 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm MSM8226 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,,"Zeiss optics, LED flash",1080p@30fps,"13 MP, f/2.0, 28mm (wide), 1/3"", AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass, sensor core","Li-Ion 3000 mAh, removable","Matte cyan, Orange, Black, Matte white, Glossy white",eMMC 4.5,,,,,,,About 170 EUR,,,Corning Gorilla Glass 3,,,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",Photo / Video,Voice 72dB / Noise 67dB / Ring 73dB,Endurance rating 74h,,,,,,,,5 MP,,,,Noise -93.0dB / Crosstalk -94.4dB,,,,,Up to 936 h (2G) / Up to 936 h (3G),,,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),,,,,,,,,
microsoft,Microsoft Lumia 640 XL,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,HSPA 42.2/5.76 Mbps,"2015, March. Released 2015, April",Discontinued,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),171 g (6.03 oz),Micro-SIM,ClearBlack display,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 88.9 cm2 (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~259 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm MSM8226 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,,"Zeiss optics, LED flash",1080p@30fps,"13 MP, f/2.0, 28mm (wide), 1/3"", AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass, sensor core","Li-Ion 3000 mAh, removable","Matte cyan, Orange, Black, Matte white, Glossy white",eMMC 4.5,,,,,,,About 170 EUR,,,Corning Gorilla Glass 3,,,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",,,Endurance rating 74h,,,,,,,,5 MP,,,,Noise -93.0dB / Crosstalk -94.4dB,,,,,Up to 936 h (2G) / Up to 936 h (3G),,,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),,,,,,,,,
