Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM
realme,Realme Narzo 20 Pro,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-20-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 21","Available. Released 2020, September 25",162.3 x 75.4 x 9.4 mm (6.39 x 2.97 x 0.37 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.1, (wide), 1/3"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,UFS 2.1,"Li-Po 4500 mAh, non-removable",,,,"White Knight, Black Ninja",About 170 EUR,,,,"64GB 6GB RAM, 128GB 8GB RAM",,,Corning Gorilla Glass,,,"Android 10, Realme UI",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek Helio G95 (12 nm),Mali-G76 MC4,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,Fast charging 65W SuperDart Charge,,,,,,,,,,,,,,,,,,,,,,,,,,
realme,Realme Narzo 20,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-20.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 21","Coming soon. Exp. release 2020, September 28",164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in),208 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,8 MP,"LED flash, HDR, panorama",1080p@30/60fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 6000 mAh, non-removable",,,,"Glory Silver, Victory Blue",About 130 EUR,,,,"64GB 4GB RAM, 128GB 4GB RAM",,,,,,"Android 10, Realme UI",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",MediaTek Helio G85 (12nm),Mali-G52 MC2,,HDR,Fast charging 18W Reverse charging,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)",,,,,,,,,,,,,,,,,,,,,,,,,
realme,Realme Narzo 20A,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-20a.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 21","Coming soon. Exp. release 2020, September 30",164.4 x 75.4 x 8.9 mm (6.47 x 2.97 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,8 MP,"LED flash, HDR, panorama","1080p@30fps, 480p@120fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 5000 mAh, non-removable",,,,"Glory Silver, Victory Blue",About 100 EUR,,,,"32GB 3GB RAM, 64GB 4GB RAM",,,Corning Gorilla Glass 3,,,"Android 10, Realme UI",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SDM665 Snapdragon 665 (11 nm),Adreno 610,,HDR,Charging 10W,"12 MP, f/1.8, 28mm (wide), 1/2.8"", 1.25µm, PDAF 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,
realme,Realme C17,https://fdn2.gsmarena.com/vv/bigpic/realme-c17.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 21","Available. Released 2020, September 22",164.1 x 75.5 x 8.9 mm (6.46 x 2.97 x 0.35 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,Weather-sealed ports & loudspeaker,"Li-Po 5000 mAh, non-removable",,,,"Navy Blue, Lake Green",About 160 EUR,,,90Hz refresh rate,128GB 6GB RAM,,UFS 2.1,Corning Gorilla Glass,,,Android 10,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SM4250 Snapdragon 460 (11 nm),Adreno 610,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,Fast charging 18W,,,,,,,,,,,,,,,,,,,,,,,,,,
realme,Realme 7i,https://fdn2.gsmarena.com/vv/bigpic/realme-7i.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 17","Available. Released 2020, September 18",164.1 x 75.5 x 8.9 mm (6.46 x 2.97 x 0.35 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.1, 26mm (wide), 1/3"", 1.0µm","LED flash, HDR, panorama","1080p@30fps, gyro-EIS",,"1080p@30fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,90Hz refresh rate,"Li-Po 5000 mAh, non-removable",,,,"Aurora Green, Polar Blue",About 180 EUR,,,UFS 2.1,128GB 8GB RAM,,,Corning Gorilla Glass,,,"Android 10, Realme UI",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,Fast charging 18W,,RMX2103,,,,,,,,,,,,,,,,,,,,,,,,
realme,Realme 7 Pro,https://fdn2.gsmarena.com/vv/bigpic/realme-7-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 03","Available. Released 2020, September 14",160.9 x 74.3 x 8.7 mm (6.33 x 2.93 x 0.34 in),182 g (6.42 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 98.9 cm2 (~82.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",microSDXC (dedicated slot),,,"32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,"1080p@30/120fps, gyro-EIS","Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, NavIC",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,Water-repellent coating,"Li-Po 4500 mAh, non-removable",,,,"Mirror Blue, Mirror Silver","$ 369.99 / ₹ 23,980",,,Always-on display,"128GB 6GB RAM, 128GB 8GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass 3+,,,"Android 10, Realme UI",Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,"1, 3, 5, 8, 38, 40, 41",Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","HDR, panorama","Fast charging 65W, 50% in 12 min, 100% in 34 min (advertised)",,RMX2170,0.73 W/kg (head)     0.52 W/kg (body),$ 369.99,$ 429.99,,,,,,,,,,,,,,,,,,,,,
realme,Realme 7,https://fdn2.gsmarena.com/vv/bigpic/realme-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 03","Available. Released 2020, September 10",162.3 x 75.4 x 9.4 mm (6.39 x 2.97 x 0.37 in),196.5 g (6.95 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.1, 26mm (wide), 1/3.1"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",,1080p@30/120fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,90Hz refresh rate 480 nits typ. brightness (advertised),"Li-Po 5000 mAh, non-removable",,,,"Mist Blue, Mist White","$ 269.99 / ₹ 16,670",,,UFS 2.1,"64GB 6GB RAM, 128GB 8GB RAM",,,Corning Gorilla Glass 3,,,"Android 10, Realme UI",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek Helio G95 (12 nm),Mali-G76 MC4,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 50% in 26 min, 100% in 65 min (advertised)",,RMX2151,0.99 W/kg (head)     0.93 W/kg (body),,$ 269.99,Yes (Indonesia only),"₹ 16,670",,,,,,,,,,,,,,,,,,,
realme,Realme X7 Pro,https://fdn2.gsmarena.com/vv/bigpic/realme-x7-pro-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL","2020, September 01","Available. Released 2020, September 15",160.8 x 75.1 x 8.5 mm (6.33 x 2.96 x 0.33 in),184 g (6.49 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm2 (~85.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",No,,,"32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS",,"1080p@30/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, GALILEO, QZSS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,CDMA 800,"Li-Po 4500 mAh, non-removable",,,,"Dark Blue, White, Rainbow",$ 409.99,,,CDMA2000 1xEV-DO,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass 5,,,"Android 10, Realme UI",Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55),,,"1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",Mediatek Dimensity 1000+ (7nm),Mali-G77 MC9,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 65W, 100% in 35 min (advertised)",,"RMX2121, RMX2111",,,$ 409.99,Yes,,"1, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,,,,
realme,Realme X7,https://fdn2.gsmarena.com/vv/bigpic/realme-x7-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL","2020, September 01","Available. Released 2020, September 08",160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.4 inches, 98.9 cm2 (~82.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",No,,,"32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,1080p@30/120fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, GALILEO, QZSS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,CDMA 800,"Li-Po 4300 mAh, non-removable",,,,"Blue, White, Rainbow",$ 299.99,,,CDMA2000 1xEV-DO,"128GB 6GB RAM, 128GB 8GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass,,,"Android 10, Realme UI",Octa-core 2.4 GHz,,,"1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",MediaTek Dimensity 800U 5G (7 nm),Mali-G57,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 65W, 100% in 33 min (advertised)",,,,$ 299.99,,,,"1, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,,,,
realme,Realme V3,https://fdn2.gsmarena.com/vv/bigpic/realme-v3.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL","2020, September 01","Available. Released 2020, September 10",164.4 x 76 x 8.6 mm (6.47 x 2.99 x 0.34 in),189.5 g (6.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Unspecified,,,"8 MP, f/2.0, 26mm (wide)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,CDMA 800,"Li-Po 5000 mAh, non-removable",,,,"Blue, Silver",About 120 EUR,,,CDMA2000 1xEV-DO,"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",,UFS 2.1,,,,"Android 10, realme UI",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",MediaTek Dimensity 720 5G (7 nm),Mali-G57 MC3,,HDR,Fast charging 18W,"13 MP, f/2.2, 26mm (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,"1, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,,,,
realme,Realme C12,https://fdn2.gsmarena.com/vv/bigpic/realme-c12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A","2020, August 14","Available. Released 2020, August 14",164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",microSDXC (dedicated slot),,,"5 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 6000 mAh, non-removable",,,,"Marine Blue, Coral Red, Silver","$ 159.99 / ₹ 9,640",,,,32GB 3GB RAM,,,Corning Gorilla Glass,,,"Android 10, realme UI 1.0",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"1, 3, 5, 8, 38, 40, 41",MediaTek Helio G35 (12 nm),PowerVR GE8320,,"HDR, panorama",Charging 10W,"13 MP, f/2.2, (wide), PDAF 2 MP B/W, f/2.4 2 MP, f/2.4",,,,,,,,$ 159.99,,,,,,,,,,,,,,,,,
