Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm
sagem,Sagem Puma Phone,https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 900 / 2100,HSPA 7.2/2 Mbps,"2010, February. Released 2010, August",Discontinued,102 x 56 x 13 mm (4.02 x 2.20 x 0.51 in),115 g (4.06 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~42.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 2 GB included",Yes,"20 dialed, 20 received, 20 missed calls",3.15 MP,LED flash,Yes,VGA,,Yes,Yes,No,"2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",2.0,"Accelerometer, compass","SMS, MMS, Email, IM","WAP 2.0/xHTML, HTML",Yes,"Yes, MIDP 2.0","Integrated solar cell with charge indicator Bike Tracker, Run Tracker, Pedometer PUMA services",Removable Li-Ion 880 mAh battery,Up to 350 h,Up to 5 h (2G) / Up to 4 h (3G),Up to 24 h,Black,About 400 EUR,,,,,,,,,,,,,
sagem,Sagem my421z,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, September. Released 2008, October",Discontinued,97 x 46 x 14 mm (3.82 x 1.81 x 0.55 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~28.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,Yes,No,No,Proprietary,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 250 h,Up to 3 h 30 min,,"Black, Silver, Pink",,Yes,No,MP3/AAC player Predictive text input Organizer,,,,,,,,,,
sagem,Sagem Roland Garros,https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008, April",Discontinued,106.9 x 46.3 x 10.9 mm (4.21 x 1.82 x 0.43 in),81 g (2.86 oz),Mini-SIM,"TFT, 65K colors",,"120 x 160 pixels, 4:3 ratio",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,No,,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 220 h,Up to 3 h,,Black,,Yes,No,MP3 player Predictive text input Organizer Voice memo,13MB,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem myMobileTV 2,https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008, April",Discontinued,-,-,Mini-SIM,"TFT, 256K colors",,"240 x 320 pixels, 4:3 ratio",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,,,Yes,No,No,"1.1, A2DP",No,No,Proprietary,,"SMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0","spin-and-rotate display external 65K TFT display, 72 x 96 pixel resolution",Removable Li-Ion battery,,Up to 5 h,,Black,,Yes,No,No,25MB,Vibration; Polyphonic ringtones,DVB-H receiver-decoder MP3 player Predictive text input Organizer Voice memo,,,,,,,
sagem,Sagem my411C Oxbow,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008",Discontinued,91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in),87 g (3.07 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,No,External monochrome display,Removable Li-Ion battery,Up to 210 h,Up to 3 h,,,,Yes,No,No,10MB,,MP3 player Organizer Predictive text input,,,,,,,
sagem,Sagem my855c,https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2008, February. Released 2008",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,VGA videocall camera,,Yes,No,No,"2.0, A2DP",No,No,Proprietary,,"SMS, MMS, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Music player Predictive text input Organizer,Removable Li-Ion battery,Up to 300 h,Up to 4 h 30 min,,,,,,,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my810x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg,GSM / UMTS,GSM 900 / 1800,UMTS 2100,"Yes, 384 kbps","2007, October",Cancelled,104 x 48 x 16 mm (4.09 x 1.89 x 0.63 in),105 g (3.70 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,microSDHC (dedicated slot),1000 entries,"30 dialed, 30 received, 30 missed calls",1.3 MP,,Yes,VGA videocall camera,,Yes,No,No,1.2,No,No,1.1,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",MP3 player Organizer Voice memo Predictive text input,Removable Li-Ion battery,Up to 280 h,Up to 5 h,,Black,,,,,,,,,,,,,,
sagem,Sagem my750x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2008, February. Released 2008",Discontinued,108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~34.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",3.15 MP,LED flash,Yes,VGA videocall camera,,Yes,No,No,Yes,No,"Stereo FM radio, RDS",Proprietary,,"SMS, MMS, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Music player Predictive text input Organizer,Removable Li-Ion battery,Up to 300 h,Up to 4 h 30 min,,"Violet, Green, Red, Blue, Orange",,,,,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my721x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008, May",Discontinued,112 x 48 x 9.8 mm (4.41 x 1.89 x 0.39 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~23.4% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",3.15 MP,,Yes,,,"Yes, with stereo speakers",No,No,Yes,No,"Stereo FM radio, RDS",Proprietary,,"SMS, MMS, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 200 h,Up to 3 h,,"Black, Silver",,Class 10,No,Music player Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my721z,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008",Discontinued,106 x 52 x 12 mm (4.17 x 2.05 x 0.47 in),125 g (4.41 oz),Mini-SIM,"TFT, 256K colors","2.2 inches, 15.2 cm2 (~27.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",3.15 MP,,Yes,,,Yes,No,No,Yes,No,"Stereo FM radio, RDS",Proprietary,,"SMS, MMS, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Mirror effect,Removable Li-Ion battery,Up to 200 h,Up to 3 h,,Silver,,Yes,No,No,,Vibration; Polyphonic ringtones,Music player Predictive text input Organizer,,,,,,,
sagem,Sagem my521x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my521x.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, July",Discontinued,107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~23.1% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,Yes,No,No,Proprietary,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 200 h,Up to 3 h,,"Black,Silver",,Yes,No,MP3/AAC player Predictive text input Organizer,10MB,Vibration; Polyphonic(32) ringtones,,,,,,,,
sagem,Sagem my519x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my519x.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008",Discontinued,108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~24.3% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",3.15 MP,,Yes,,,Yes,No,Wi-Fi 802.11b/g,Yes,No,"Stereo FM radio, RDS",Proprietary,,"SMS, MMS, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 240 h,Up to 4 h 30 min,,"Violet, Green, Pink",,Yes,Class 10,Music player Barcode reader Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my421x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),81 g (2.86 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,Yes,No,No,Yes,No,"Stereo FM radio, RDS",Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Glossy effect,Removable Li-Ion battery,Up to 220 h,Up to 3 h 40 min,,Black,,Yes,No,No,,Vibration; Polyphonic ringtones,Music player Predictive text input Organizer,,,,,,,
sagem,Sagem my429x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x.jpg,GSM,GSM 900 / 1800,,,"2008, February",Discontinued,106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in),95 g (3.35 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,Yes,No,Wi-Fi 802.11b/g,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Metallic cover with mirror effect,Removable Li-Ion battery,Up to 370 h,Up to 4 h,,Silver,,Yes,No,No,,Vibration; Polyphonic ringtones,Music player Predictive text input Organizer,,,,,,,
sagem,Sagem my419x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x-new.jpg,GSM,GSM 900 / 1800,,,"2008, February",Discontinued,106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in),95 g (3.35 oz),Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,Yes,No,Wi-Fi 802.11b/g,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Metallic cover with mirror effect,Removable Li-Ion battery,Up to 370 h,Up to 4 h,,Silver,,Yes,No,No,,Vibration; Polyphonic ringtones,Music player Predictive text input Organizer,,,,,,,
sagem,Sagem P9522 Porsche,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2008, October. Released 2008, October",Discontinued,112 x 49 x 12 mm (4.41 x 1.93 x 0.47 in),115 g (4.06 oz),Mini-SIM,"AMOLED resistive touchscreen, 256K colors","2.8 inches, 22.3 cm2 (~40.7% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",microSD (dedicated slot),1000 contacts,Yes,"5 MP, AF",,Yes,,,Yes,No,Wi-Fi 802.11 b/g,Yes,"Yes, with A-GPS","Stereo FM radio, RDS",Proprietary,Fingerprint (front-mounted),"SMS, MMS, Email","WAP 2.0/xHTML, HTML (Opera)",Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 300 h,Up to 4 h,,Black,About 600 EUR,Class 10,Class 10,MP3/eAAC+ player MP4/H.263 player Organizer Voice memo/dial Predictive text input,,,,Scratch-resistant glass,,,,,,
sagem,Sagem P9521 Porsche,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9521.jpg,GSM,GSM 850 / 900 / 1800 / 1900,,,"2008, October. Released 2008, December",Discontinued,91.5 x 48.3 x 17.8 mm (3.60 x 1.90 x 0.70 in),139 g (4.90 oz),Mini-SIM,"AMOLED, 256K colors","2.2 inches, 15.0 cm2 (~33.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),1000 contacts,Yes,"3.15 MP, AF",LED flash,Yes,,,Yes,No,No,"1.2, A2DP",No,No,1.1,Fingerprint (front-mounted),"SMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Secondary external display,Removable Li-Ion battery,Up to 240 h,Up to 3 h 30 min,Up to 7 h,Black,About 1200 EUR,Class 10,Class 10,No,22MB,,MP3/eAAC+ player MP4/H.263 player Organizer Voice memo/dial Predictive text input,,,,,,,
sagem,Sagem my730c,https://fdn2.gsmarena.com/vv/bigpic/sagem-my730c.jpg,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2008, August. Released 2008, Q4",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~26.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),"1000 contacts, Photocall","20 dialed, 20 received, 20 missed calls",2 MP,,Yes,,,Yes,No,No,Yes,No,No,miniUSB,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Secondary external display Dedicated music keys,Removable Li-Ion 920 mAh battery,Up to 300 h,Up to 4 h,,Black,,,,No,54MB,,MP3/MP4 player Organizer Voice memo Predictive text input,,,,,,,
sagem,Sagem my411c,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February",Discontinued,91 x 46 x 16 mm (3.58 x 1.81 x 0.63 in),87 g (3.07 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~24.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Mirror effect,Removable Li-Ion battery,Up to 200 h,Up to 3 h,,"Black, Pink",,Yes,No,No,,Vibration; Polyphonic ringtones,Music player Predictive text input Organizer,,,,,,,
sagem,Sagem my312x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my312x.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, February. Released 2008",Discontinued,109 x 48 x 11 mm (4.29 x 1.89 x 0.43 in),87 g (3.07 oz),Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~19.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 220 h,Up to 3 h 40 min,,Black,,Yes,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my234x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75 g (2.65 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,FM radio,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 450 h,Up to 6 h,,Black,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my231x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75 g (2.65 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,Yes,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 450 h,Up to 6 h,,Black,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my230x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my230x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,SMS,No,mySUDOKU,No,No,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my226x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my226x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors",", 26 x 28 mm","128 x 128 pixels, 1:1 ratio",No,"Yes, up to 250 entries","20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,No,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion 670 mAh battery,Up to 240 h,Up to 3 h,,Black,,No,No,Organizer Predictive text input,,,,,,,,,,
sagem,Sagem my220x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my220x.jpg,GSM,GSM 900 / 1800,,,"2008, February",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~14.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,"Chrome, Bronze, Red",About 60 EUR,No,No,Predictive text input Organizer,,Vibration; Polyphonic(32) ringtones,,,,,,,,
sagem,Sagem my901C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my901c.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2007, March. Released 2008, February",Discontinued,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 11.2 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~211 ppi density)",miniSD,Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,VGA videocall camera,,No,No,No,"2.0, A2DP",No,No,Proprietary,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0","Second external TFT, 256K colors display (96 x 64 pixels)",Removable Li-Ion battery,Up to 300 h,Up to 5 h,,"Black, Dark Blue, Dark Red",,,,Video telephony & streaming MP3/AAC player  Predictive text input Organizer Voice memo,,Vibration; Downloadable polyphonic ringtones,,,,,,,,
