Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
sendo,Sendo X2,https://fdn2.gsmarena.com/vv/bigpic/sex2.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,"2005, Q1",Cancelled,85 cc,95 g (3.35 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2",176 x 220 pixels (~128 ppi density),"Symbian, Series 60 UI",TI OMAP 5910,120 MHz ARM925T,,miniSD,32MB,1.3 MP,Yes,No,No,No,No,Yes,No,No,Proprietary,,Photo editor AAC/MP3 player SyncML,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML",,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo S1,https://fdn2.gsmarena.com/vv/bigpic/ses1.gif,GSM,GSM 900 / 1800,Yes,No,"2005, Q1",Cancelled,,83 g (2.93 oz),Mini-SIM,,,"96 x 64 pixels, 3:2 ratio",,,,,No,,,,Downloadable wallpapers and animated screensavers,No,No,No,No,No,No,,,No,Removable Li-Ion battery,Up to 425 h,Up to 7 h,,,,,,,,,,,Yes,"30 received, dialed and missed calls","SMS, MMS",,No,,Predictive text input Exchangeable covers,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo K1,https://fdn2.gsmarena.com/vv/bigpic/sek1.gif,GSM,GSM 900 / 1800,Yes,No,"2005, Q1",Cancelled,,,Mini-SIM,65K colors,,,,,,,No,,,,5-way navigation key Downloadable wallpapers and animated screensavers,No,No,No,1.2,No,No,,,No,Removable Li-Ion battery,Up to 400 h,Up to 7 h,,,,,,,,,,,Yes,"30 received, dialed and missed calls","SMS, MMS",Yes,No,,Predictive text input,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo P600,https://fdn2.gsmarena.com/vv/bigpic/sep600.gif,GSM,GSM 900 / 1800,Class 8,No,"2004, Q3",Discontinued,"108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,3.7MB,VGA,No,GSM 850 / 1900 - US version,No,No,No,No,No,No,,,Downloadable wallpapers,Removable Li-Ion battery,Up to 380 h,Up to 6 h,,,,,,,,,,,"750 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",,Photo editor Predictive text input,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo SV663,https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif,GSM,GSM 900 / 1800,Class 10,No,"2004, Q3",Discontinued,"108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in)",86 g (3.03 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,,,,,No,3.3MB,VGA,No,"Downloadable wallpapers, screensavers 5-way navigation key",No,No,No,No,No,No,,,No,Removable Li-Ion 800 mAh battery,Up to 400 h,Up to 7 h,,,,,,,,,,,"250 x 4 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",,Photo editor Predictive text input Exchangeable covers,WAP 2.0/xHTML,,,,,,,,,"Vibration; Downloadable polyphonic, monophonic ringtones",,,,,,,,,,,,,,,,,,,,
sendo,Sendo M570,https://fdn2.gsmarena.com/vv/bigpic/sem570.gif,GSM,GSM 900 / 1800,Class 8,No,"2004, Q1",Discontinued,"82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)",77 g (2.72 oz),Mini-SIM,"UFB, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,3.7MB,,,"Second display, inverse, 96 x 64 pixels Downloadable wallpapers",No,No,No,No,No,No,,,50 preloaded images for MMS,Removable Li-Ion 600 mAh battery,Up to 400 h,Up to 5 h,,,,,,,,,,,"250 x 5 fields, contact groups","10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes,Yes,,Predictive text input Online currency converter with live rates Calculator,WAP 2.0/xHTML,,,,,,,,,"Vibration; Downloadable polyphonic, monophonic ringtones",,,,,,,,,,,,,,,,,,,,
sendo,Sendo S600,https://fdn2.gsmarena.com/vv/bigpic/ses600.gif,GSM,GSM 900 / 1800,Class 8,No,"2004, Q1",Discontinued,"108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",83 g (2.93 oz),Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,3.7MB,VGA,No,GSM 850 / 1900 - US version,No,No,No,No,No,No,,,"Downloadable wallpapers, screensavers",Removable Li-Ion battery,Up to 450 h,Up to 7 h,,,,,,,,,,,"250 x 3  entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",3 + downloadable,"Yes, MIDP 2.0",,Photo editor Predictive text input,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo X,https://fdn2.gsmarena.com/vv/bigpic/sex.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2003, Q4",Discontinued,"110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in)",120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),"Symbian 6.1, Series 60 v1.0 UI",TI OMAP 5910,120 MHz ARM925T,,MMC/SD,32MB,VGA,Yes,No,No,No,No,1.1,No,No,Proprietary,,MP4/MP3 player Sync ML,Removable Li-Po 1050 mAh battery,Up to 170 h,Up to 7 h,,,LED flash,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML with SSL",,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo S360,https://fdn2.gsmarena.com/vv/bigpic/ses360.gif,GSM,GSM 900 / 1800,Class 8,No,"2004, Q4",Discontinued,"108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in)",83 g (2.93 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels,, 1:1 ratio",,,,,No,2MB,,,Downloadable wallpapers and animated screensavers,No,No,No,No,No,No,,,No,Removable Li-Ion battery,Up to 400 h,Up to 7 h,"Black, Blue",,,,,,,,,,"250 entries, Picture call","30 received, dialed and missed calls","SMS, EMS, MMS","5 - Funny Farmer, Solitaire, Sumito, Tenpin, Splat+ downloadable",No,,Predictive text input Exchangeable covers,WAP 2.0/xHTML,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sendo,Sendo S330,https://fdn2.gsmarena.com/vv/bigpic/ses330.gif,GSM,GSM 900 / 1800,Class 8,No,"2003, Q4",Discontinued,"108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in)",81 g (2.86 oz),Mini-SIM,"CSTN, 4096 colors",,"98 x 67 pixels, 5 lines, 3:2 ratio",,,,,No,,,,Soft keys Downloadable icons,No,No,No,No,No,No,,,20 short messages,Removable Li-Ion battery,Up to 480 h,Up to 7 h,,,,,,,,,,,500,"10 received, 10 dialed and 10 missed calls","SMS, EMS",Downloadable,No,,Predictive text input,WAP 1.2.1,,,,,,,,,Vibration; Downloadable monophonic - iMelody and Nokia format ringtones,,,,,,,,,,,,,,,,,,,,6 preloaded languages
sendo,Sendo S300,https://fdn2.gsmarena.com/vv/bigpic/ses300.gif,GSM,GSM 900 / 1800,No,No,"2003, Q1",Discontinued,107 x 47 x 21 mm (4.21 x 1.85 x 0.83 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 5 lines, 3:2 ratio",,,,,No,,,,Soft keys,No,No,No,No,No,No,,,Message templates SMS smileys,Removable Li-Ion 600 mAh battery,Up to 260 h,Up to 5 h,"4 - Midnight, Ink Blue, Frosty Mint, Pepper Red",,,,,,,,,,200,"10 received, 10 dialed and 10 missed calls",SMS,"4 - Sumino, Carz, Splat & Ten Pin",No,,"Predictive text input User changeable front housing, back housing and keypad",,,,,,,,,,Vibration; Downloadable monophonic ringtones,,,,,,,,,,,,,,,,,,,,"European, American and Asian languages"
sendo,Sendo M550,https://fdn2.gsmarena.com/vv/bigpic/sem550.gif,GSM,GSM 900 / 1800,Class 8,No,"2003, Q2",Discontinued,"82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)",77 g (2.72 oz),Mini-SIM,"CSTN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,"Second display, inverse, 96 x 64 pixels",No,No,No,No,No,No,,,Dynamic memory,Removable Li-Ion battery,180 h - 400 h,2 h - 5 h,,,,,,,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS","3 - Ten Pin ,KombatClub and Splat",No,,Predictive text input,WAP 1.2.1,,,,,,,,,Vibration; Downloadable polyphonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo Z100,https://fdn2.gsmarena.com/vv/bigpic/sez100.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,Never,Cancelled,"126 x 48 x 17 mm, 99 cc (4.96 x 1.89 x 0.67 in)",99 g (3.49 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.2% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,,,,MMC,,,,No,Yes,No,No,No,No,No,Proprietary,,Advanced mobile Internet Organizer MP3 and WMA player RS-232 connectivity MMC card slot Voice dial Voice memo RS-232 connectivity,Removable Li-Ion battery,100 h,4 h,,,,,,,,,,,,,SMS,Yes,No,,,,,,,,,,,Yes,Vibration; Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo J530,https://fdn2.gsmarena.com/vv/bigpic/sej530.gif,GSM,GSM 900 / 1800,No,No,"2002, February",Discontinued,107 x 49 x 18 mm (4.21 x 1.93 x 0.71 in),75 g (2.65 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Soft keys Downloadable screen graphics and logos,No,No,No,No,No,No,,,Message templates SMS smileys 20 voice dial numbers 60 sec voice memo,Removable Li-Ion battery,up to 230 h,up to 3 h,"Translucent Blue, Translucent Red, Translucent Grey",,,,,,,,,,,,"SMS, EMS",Downloadable,No,,"Predictive text input Voice dial Voice memo Organizer User changeable front housing, back housing and keypad",WAP 1.2.1,,,,,,,,,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo J520,https://fdn2.gsmarena.com/vv/bigpic/sej520.gif,GSM,GSM 900 / 1800,No,No,"2001, Q4",Discontinued,"113 x 50 x 25 mm, 79 cc (4.45 x 1.97 x 0.98 in)",75 g (2.65 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Soft keys,No,No,No,No,No,No,,,Message templates SMS smileys,Removable Li-Ion battery,up to 300 h,up to 3 h,,,,,,,,,,,,,SMS,"4 - FlippIT, Quaddro, Scizzors, Splash",No,,"Predictive text input User changeable front housing, back housing and keypad",WAP,,,,,,,,,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo S230,https://fdn2.gsmarena.com/vv/bigpic/ses230.gif,GSM,GSM 900 / 1800,No,No,"2002, February",Discontinued,115 x 50 x 24 mm (4.53 x 1.97 x 0.94 in),98 g (3.46 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Soft keys,No,No,No,No,No,No,,,Message templates SMS smileys,Removable NiMH battery,up to 230 h,up to 4 h,"4 - Midnight, Ink Blue, Frosty Mint, Pepper Red",,,,,,,,,,,,SMS,"12 - Splash, Quaddro, Scizzors, FlippIT ...",No,,"Predictive text input User changeable front housing, back housing and keypad",WAP 1.2.1,,,,,,,,,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo P200,https://fdn2.gsmarena.com/vv/bigpic/sep200.gif,GSM,GSM 900 / 1800,No,No,"2001, Q3",Discontinued,"105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)",98 g (3.46 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Soft keys,No,No,No,No,No,No,,,Message templates SMS smileys,Removable Li-Ion battery,170 h - 360 h,2.5 h - 3.5 h,"3 - Midnight Blue, Ink Blue, Forest Green",,,,,,,,,,,,SMS,"4 - FlippIT, Quaddro, Scizzors, Splash",No,,"Predictive text input User changeable front housing, back housing and keypad",,,,,,,,,,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo S200,https://fdn2.gsmarena.com/vv/bigpic/ses200.gif,GSM,GSM 900 / 1800,No,No,"2001, Q2",Discontinued,"105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)",98 g (3.46 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Soft keys,No,No,No,No,No,No,,,Message templates SMS smileys,Removable Li-Ion battery,300 h,3 h,"4 - Midnight, Ink Blue, Frosty Mint and Pepper Red",,,,,,,,,,,,SMS,"4 - FlippIT, Quaddro, Scizzors, Splash",No,,"Predictive text input User changeable front housing, back housing and keypad",,,,,,,,,,"Vibration; Monophonic ringtones, composer",Yes,Yes,,,,,,,,,,,,,,,,,,
sendo,Sendo D800,https://fdn2.gsmarena.com/vv/bigpic/sed800.gif,GSM,GSM 900 / 1800,No,No,2000,Discontinued,"102 x 44 x 19 mm, 69 cc (4.02 x 1.73 x 0.75 in)",68 g (2.40 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 6 lines, 3:2 ratio",,,,,No,,,,Ice Blue backlight Fixed icons Soft keys,No,No,No,No,No,No,,,Message templates,Removable Li-Ion battery,,,,,,,,,,,,,,,SMS,"4 - FlippIT, Quaddro, Scizzors, Splash",No,,Predictive text input Battery backup Organizer,,,,,,,,,Yes,Vibration; Monophonic ringtones,Yes,Yes,,,,,,,,,,,,,,,,,,
