Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
telit,Telit t800,https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,GSM,GSM 900 / 1800 / 1900,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in),91 g (3.21 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,No,,,,,microSD,64MB,,LED flash,Yes,2 MP,,,No,No,MP3/AAC/3GP player eZi text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 860 mAh battery,,Red,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,
telit,Telit t250,https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,GSM,GSM 900 / 1800 / 1900,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,No,7MB,,,No,VGA,,,No,No,eZi text input Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",,,
telit,Telit t650,https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,GSM,GSM 900 / 1800,"Second CSTN display, 65K colors, 96 x 96 pixels",,,,,"2006, Q1",Cancelled,90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,microSD,64MB,,LED flash,No,"VGA, rotating lens",,,No,No,MP3 player Predictive text input Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,"500 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit t200,https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2006, Q1",Discontinued,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,eZi text input Organizer Voice memo,,,,,No,7MB,,,No,VGA,,,No,No,,No,No,No,,No,Proprietary,,Removable Li-Ion 730 mAh battery,,Red,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",,,
telit,Telit GU1100,https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,GSM / UMTS,GSM 900 / 1800,MP3 player Predictive text input Voice memo Organizer,UMTS 2100,,,"Yes, 384 kbps","2005, Q3",Discontinued,112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in),103 g (3.63 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,,,,microSD (dedicated slot),,,,Yes,VGA,,,Yes,No,,No,Yes,No,,No,1.1,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,Yes,,,,Up to 280 h,,Up to 4 h,,,,,,,"500 entries, Photocall",Yes,"SMS, EMS, MMS, Email",Yes,"Yes, MIDP 1.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit SP600,https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2005, Q2",Discontinued,109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in),99 g (3.49 oz),,Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo Organizer,Microsoft Windows Mobile 2003 SE Smartphone,,,,miniSD,32MB,,,Yes,1.3 MP,,,No,No,,No,Yes,No,,No,1.1,,Removable Li-Ion 1000 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,Up to 130 h,,Up to 5 h,,Yes,Class 8,No,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit t550,https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,GSM,GSM 900 / 1800 / 1900,Downloadable animation,,,,,"2005, Q1",Discontinued,105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in),98 g (3.46 oz),,Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,No,,,,,No,,,LED flash,Yes,1.3 MP,,,"Yes, with stereo speakers",No,MP3 player Video player Photo editor Predictive text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 860 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 168 h,,Up to 9 h,,,Class 10,No,,,"1000 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,Yes,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,
telit,Telit t420,https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,GSM,GSM 900 / 1800,"Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in),82 g (2.89 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,,,,Yes,VGA,,,No,No,Video player Photo editor Predictive text input Organizer,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,"300 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit t180,https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,GSM,GSM 900 / 1800,No,,,,,"2006, Q2",Discontinued,100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in),76 g (2.68 oz),,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",Voice memo eZi text input Unit Converter World Clock,,,,,No,2MB,,,No,VGA,,,No,No,,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,"Navy Blue, Lacquered White",,,,,,,,,,,,,,,,,,,Up to 250 h,,Up to 5 h,,,Class 10,No,,,300 entries,"10 received, dialed and missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 1.0",WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI ringtones",,,
telit,Telit t410,https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,GSM,GSM 900 / 1800,"Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in),76 g (2.68 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,,,,Yes,VGA,,,No,No,Video player Photo editor Predictive text input Organizer,No,No,No,,No,No,,Removable Li-Ion 650 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,"300 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit t130,https://fdn2.gsmarena.com/vv/bigpic/telit-t130.gif,GSM,GSM 900 / 1800,No,,,,,"2006, Q2",Discontinued,101 x 44 x 16.5 mm (3.98 x 1.73 x 0.65 in),75 g (2.65 oz),,Mini-SIM,Monochrome graphics,"1.37 inches, 5.6 cm2 (~12.6% screen-to-body ratio)","96 x 64 pixels, 3:2 ratio (~84 ppi density)",eZi text input Calculator Watch Speed dial,,,,,No,4MB,,,,,,,Yes,No,,No,No,No,,No,miniUSB,,Removable Li-Ion 800 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,SIM based only,"10 received, dialed and missed calls",SMS,No,No,No,,,,,,,,,,,,,Vibration; Downloadable monophonic ringtones,,,
telit,Telit t110,https://fdn2.gsmarena.com/vv/bigpic/telit-t110.gif,GSM,GSM 900 / 1800,"Second CSTN display, 4096 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,90 x 41 x 20 mm (3.54 x 1.61 x 0.79 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~27.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,No,2MB,,,Yes,VGA,,,No,No,Video player Predictive text input Organizer Voice memo,No,No,No,,No,No,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,Up to 110 h,,Up to 5 h,,,Class 10,No,,,"500 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",WAP 1.2,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit t210,https://fdn2.gsmarena.com/vv/bigpic/telit-t210.gif,GSM,GSM 900 / 1800 / 1900,"Second CSTN display, 4096 colors, 96 x 64 pixels Downloadable animation",,,,,"2005, Q1",Discontinued,93 x 45 x 24 mm (3.66 x 1.77 x 0.94 in),85 g (3.00 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~24.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,No,4MB,,,Yes,1.3 MP,,,No,No,Predictive text input Organizer Voice memo,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 5 h,,,Class 10,No,,,"500 entries, Photocall","10 received, dialed and missed calls","SMS, EMS, MMS",Yes + downloadable,"Yes, MIDP 1.0",WAP 1.2,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit T510,https://fdn2.gsmarena.com/vv/bigpic/telit-t510.gif,GSM,GSM 900 / 1800,Downloadable animation,,,,,"2005, Q1",Discontinued,90 x 40 x 18 mm (3.54 x 1.57 x 0.71 in),87 g (3.07 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~28.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,miniSD,32MB,,LED flash,No,VGA,,,"Yes, with stereo speakers",No,Predictive text input MP3 player Organizer Voice memo,No,No,No,,No,Proprietary,,Removable Li-Ion 650 mAh battery,,"Silver, Blue",,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,250 entries,"10 received, dialed and missed calls","SMS, EMS, MMS",Yes + downloadable,Yes,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit C1000,https://fdn2.gsmarena.com/vv/bigpic/telit-c1000.gif,GSM,GSM 900 / 1800,Handwriting recognition  Downloadable animation,,,,,"2005, Q1",Discontinued,86 x 48 x 15.6 mm (3.39 x 1.89 x 0.61 in),74.5 g (2.61 oz),,Mini-SIM,"TFT resistive touchscreen, 256K colors",,128 x 160 pixels,No,,,,,No,5.5MB,,LED flash,No,VGA,,,No,No,Predictive text input Photo editor Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,,Class 8,No,,,300 entries,,"SMS, EMS, MMS",Yes + downloadable,No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit T91,https://fdn2.gsmarena.com/vv/bigpic/tet91.gif,GSM,GSM 900 / 1800,Rotating screen Downloadable pictures,,,,,"2004, Q3",Discontinued,85 x 43.5 x 21.9 mm (3.35 x 1.71 x 0.86 in),85 g (3.00 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,16MB,,,No,VGA,,,No,No,Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 120 h,,Up to 6 h,,,Class 8,No,,,500 entries,,"SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit T90,https://fdn2.gsmarena.com/vv/bigpic/tet90.gif,GSM,GSM 900 / 1800,Second OLED LCD (96 x 64 pixels) with 4 color Downloadable pictures,,,,,"2004, Q3",Discontinued,85 x 43.5 x 21.9 mm (3.35 x 1.71 x 0.86 in),85 g (3.00 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,,,,,No,16MB,,,No,"VGA, 180 deg. rotating lens",,,No,No,Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 120 h,,Up to 6 h,,,Class 8,No,,,500,,"SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
telit,Telit NEO,https://fdn2.gsmarena.com/vv/bigpic/teneo.gif,GSM,GSM 900 / 1800 / 1900,7-color flashing LED,,,,,"2004, Q2",Discontinued,99 x 44 x 18 mm (3.90 x 1.73 x 0.71 in),65 g (2.29 oz),,Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,,,,,No,4MB,,,,,,,No,No,Predictive text input - Organizer - Stopwatch - Voice memo,No,Yes,No,,No,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 3 h,,,Class 10,No,,,Yes,,"SMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit X60i,https://fdn2.gsmarena.com/vv/bigpic/tex60i.gif,GSM,GSM 900 / 1800 / 1900,Second external mono display (80 x 48 pixels),,,,,"2004, Q2",Discontinued,72 x 41 x 22 mm (2.83 x 1.61 x 0.87 in),65 g (2.29 oz),,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,,,,,No,,,,,,,,No,No,Predictive text input Organizer Voice memo,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,"Silver, Blue",,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 3 h 30 min,,,Class 10,No,,,100 fields,,"SMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic ringtones, composer",,,
telit,Telit G90,https://fdn2.gsmarena.com/vv/bigpic/teg90.gif,GSM,GSM 900 / 1800 / 1900,Second external display (64 x 48 pixels),,,,,"2003, Q4",Discontinued,97 x 52 x 28 mm (3.82 x 2.05 x 1.10 in),135 g (4.76 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.2% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),Intel Xscale 200 MHz,Microsoft Smartphone 2002,,Intel XScale 200 MHz,,SD,"16MB RAM, 32MB ROM",,,No,CIF,,,No,No,MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo (3 min.) Organizer,No,No,No,,No,Proprietary,,Removable Li-Po 1000 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,Up to 100 h,,Up to 2 h,,Yes,Class 10,No,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Polyphonic(40) ringtones,,,
telit,Telit G83,https://fdn2.gsmarena.com/vv/bigpic/teg83.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2003, Q4",Discontinued,108 x 45 x 20 mm (4.25 x 1.77 x 0.79 in),90 g (3.17 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,Predictive text input Organizer Voice dial/memo Photo editor,,,,,No,,,,No,VGA,,,No,No,,No,No,No,,No,,,Removable Li-Ion 780 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,Yes,,"SMS, EMS, MMS, Email",4,Yes,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Polyphonic(16) ringtones, composer",,,
telit,Telit G80,https://fdn2.gsmarena.com/vv/bigpic/teg80.gif,GSM,GSM 900 / 1800 / 1900,3 fonts,,,,,"2002, Nov",Discontinued,105 x 60 x 23 mm (4.13 x 2.36 x 0.91 in),96 g (3.39 oz),,Mini-SIM,"CSTN, 65K colors",,"160 x 120 pixels, 4:3 ratio",No,,,,,No,,,,No,QVGA,,,No,No,Predictive text input Organizer,No,No,No,,No,,"Barometer, altimeter",Removable Li-Ion 600 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 160 h,,Up to 6 h 30 min,,,Class 8,No,,,Contact groups,,"SMS, EMS, MMS, Email",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Polyphonic ringtones, composer",,Yes,Yes
telit,Telit G82,https://fdn2.gsmarena.com/vv/bigpic/teg82.gif,GSM,GSM 900 / 1800 / 1900,3 fonts,,,,,2002,Discontinued,114 x 53 x 27 mm (4.49 x 2.09 x 1.06 in),90 g (3.17 oz),,Mini-SIM,"CSTN, 4096 colors",,"128 x 96 pixels, 4:3 ratio",No,,,,,No,,,,,,,,No,No,Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion 550 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 250 h,,Up to 6 h 30 min,,,Class 8,No,,,Contact groups,,"SMS, EMS, MMS, Email",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Monophonic ringtones, composer",,Yes,Yes
telit,Telit G40,https://fdn2.gsmarena.com/vv/bigpic/teg40.gif,GSM,GSM 900 / 1800,Downloadable logos and backgrounds,,,,,"2003, Q2",Discontinued,105 x 46 x 18.5 mm (4.13 x 1.81 x 0.73 in),75 g (2.65 oz),,Mini-SIM,Monochrome graphic,,101 x 80 pixels,No,,,,,No,,,,,,,,No,No,Predictive text input Chronometer Organizer,No,No,No,,No,,,Removable Li-Ion 610 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 240 h,,Up to 2 h 30 min,,,Class 7,No,,,Contact groups,Advanced,"SMS, EMS","4 - Maze box, Failing, GridGuest, Dengo",No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Polyphonic ringtones,,Yes,Yes
telit,Telit GM 882,https://fdn2.gsmarena.com/vv/bigpic/tegm882.gif,GSM,GSM 900 / 1800,Blue backlight 3 fonts Fixed icons Softkeys,,,,,2002,Discontinued,107 x 54 x 22 mm (4.21 x 2.13 x 0.87 in),100 g (3.53 oz),,Mini-SIM,Monochrome graphic,,"132 x 65 pixels, 18.5:9 ratio",11 predefined messages,,,,,No,,,,,,,,No,No,Predictive text input Organizer,No,No,No,,No,,,Removable NiMH 550 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 6 h 30 min,,,Class 8,No,,,"150 entries, contact groups",,"SMS, EMS, Email",3,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Monophonic ringtones, composer",,Yes,Yes
telit,Telit GM 830,https://fdn2.gsmarena.com/vv/bigpic/tegm830b.gif,GSM,GSM 900 / 1800,Dynamic font size Fixed icons Softkeys,,,,,1999,Discontinued,117 x 51 x 20 mm (4.61 x 2.01 x 0.79 in),105 g (3.70 oz),,Mini-SIM,Monochrome graphic,,4 lines,No,,,,,No,,,,,,,,No,No,,No,No,No,,No,,,Removable Li-Ion 650 mAh battery,,4,,,,,,,,,,,,,,,,,,,52 h,,4 h,,,No,No,,,,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,,,,,,,,,,,,,"Vibration; Monophonic ringtones, composer",,Yes,Yes
telit,Telit GM 810,https://fdn2.gsmarena.com/vv/bigpic/tegm810b.gif,GSM,GSM 900 / 1800,Dynamic font size Fixed icons Softkeys,,,,,1999,Discontinued,117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in),105 g (3.70 oz),,Mini-SIM,Monochrome graphic,,4 lines,No,,,,,No,,,,,,,,No,No,,No,No,No,,No,,,Removable Li-Ion 650 mAh battery,,4,,,,,,,,,,,,,,,,,,,52 h,,4 h,,,No,No,,,,,SMS,No,No,,,,,,,,,,,,,,"Vibration; Monophonic ringtones, composer",,Yes,Yes
telit,Telit Estremo,https://fdn2.gsmarena.com/vv/bigpic/teestreb.gif,GSM,GSM 900,Water and shock resistant,,,,,1999,Discontinued,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),176 g (6.21 oz),,Mini-SIM,Monochrome graphic,,4 lines,Dynamic font size Fixed icons Softkeys,,,,,No,,,,,,,,No,No,No,No,No,No,,No,,,Removable Li-Ion 1000 mAh battery,,3,,,,,,,,,,,,,,,,,,,70 h,,5 h,,,No,No,,,,,SMS,No,No,,,,,,,,,,,,,,"Monophonic ringtones, composer",,Yes,Yes
telit,Telit GM 710,https://fdn2.gsmarena.com/vv/bigpic/tegm710b.gif,GSM,GSM 900,Dynamic font size Fixed icons Softkeys,,,,,1999,Discontinued,117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in),105 g (3.70 oz),,Mini-SIM,Monochrome graphic,,4 lines,No,,,,,No,,,,,,,,No,No,,No,No,No,,No,,,Removable Li-Ion 650 mAh battery,,4,,,,,,,,,,,,,,,,,,,48 h,,4 h,,,No,No,,,,,SMS,No,No,,,,,,,,,,,,,,"Vibration; Monophonic ringtones, composer",,Yes,Yes
telit,Telit GM 410,https://fdn2.gsmarena.com/vv/bigpic/tegm410b.gif,GSM,GSM 900,Dynamic font size Fixed icons Softkeys,,,,,1999,Discontinued,130 x 48 x 15 mm (5.12 x 1.89 x 0.59 in),115 g (4.06 oz),,Mini-SIM,Monochrome graphic,,5 lines,5 phonebook groups,,,,,No,,,,,,,,No,No,No,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,,3,,,,,,,,,,,,,,,,,,,96 h,,4 h,,,No,No,,,,,SMS,No,No,,,,,,,,,,,,,,Monophonic ringtones,,Yes,Yes
