Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
vodafone,Vodafone Smart V10,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, May","Available. Released 2019, June",151.3 x 69.9 x 8.2 mm (5.96 x 2.75 x 0.32 in),145 g (5.11 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 85.5 cm2 (~80.8% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~291 ppi density)",,Android 9.0 (Pie),Qualcomm SDM429 Snapdragon 429 (12 nm),Quad-core 2.0 GHz Cortex-A53,Adreno 504,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, HDR, panorama",1080p@30fps,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3400 mAh, non-removable",,Chrome Pewter,,About 180 EUR,Asahi Dragontrail Glass,,,,,,,,,,,"13 MP, AF 5 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart N10,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, May","Available. Released 2019, May",148.8 x 69.9 x 8.4 mm (5.86 x 2.75 x 0.33 in),160 g (5.64 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.67 inches, 80.9 cm2 (~77.8% screen-to-body ratio)",720 x 1500 pixels (~293 ppi density),,Android 9.0 (Pie),Mediatek MT6761V/WA Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, AF",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Ion 2920 mAh, non-removable",,Blue Borealis,"VFD 630, 5048Y",About 150 EUR,Asahi Dragontrail Glass,,,,,,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart E9,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, December","Available. Released 2018, December",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134 g (4.73 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",,Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDHC,8GB 1GB RAM,,LED flash,720p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, non-removable",,Anthracite,VFD 527,About 70 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,,,0.91 W/kg (head)     1.63 W/kg (body),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart X9,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-x9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, December","Available. Released 2018, December",148.2 x 71.3 x 8 mm (5.83 x 2.81 x 0.31 in),153 g (5.40 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 82.7 cm2 (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, AF 5 MP, f/2.4, (depth)",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",,Black,VFD 820,About 110 EUR,Asahi Dragontrail Glass,,,,,,,,,,,,8 MP,,,,,,,,,,,0.40 W/kg (head)     1.23 W/kg (body),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart N9,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,"1, 3, 5, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, June","Available. Released 2018, June",147.1 x 68.8 x 8.7 mm (5.79 x 2.71 x 0.34 in),145 g (5.11 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,Android 8.1 (Oreo),Mediatek MT6739WA (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDHC,16GB 2GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro (market dependent), proximity, compass","Li-Ion 2900 mAh, non-removable",,"Silver Aluminium, Black Titanium",VFD 720,About 120 EUR,,,,,,,,,,,,,8 MP,,,,,,,,,Yes,Yes,0.96 W/kg (head)     1.56 W/kg (body),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart N9 lite,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-lite-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,"1, 3, 5, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, June","Available. Released 2018, June",148.2 x 68.9 x 9.4 mm (5.83 x 2.71 x 0.37 in),155 g (5.47 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~72.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",,Android 8.1 Oreo (Go edition),Mediatek MT6739WA (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDHC,16GB 1GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Accelerometer, gyro (market dependent), proximity, compass",Li-Ion 2460 mAh battery,,"White Pearl, Black Ice",VFD 620,About 100 EUR,,,,,,,,,,,,,5 MP,,,,,,,,,Yes,Yes,0.90 W/kg (head)     1.69 W/kg (body),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart Tab N8,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab-n8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, June",260 x 155 x 9 mm (10.24 x 6.10 x 0.35 in),465 g (1.03 lb),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~73.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,Android 7.0 (Nougat),Mediatek MT8735B,Quad-core 1.1 GHz Cortex-A7,Mali-T720MP2,microSDXC (dedicated slot),16GB 2GB RAM,,,Yes,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,Accelerometer,"Li-Ion 4600 mAh, non-removable",,Volcano Black,,About 180 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart E8,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 4.5,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, July",145.6 x 72.1 x 9.2 mm (5.73 x 2.84 x 0.36 in),169 g (5.96 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.1 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",,Slate Blue,"VFD 510, VFD 513",About 80 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart V8,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, June",155 x 76 x 7.9 mm (6.10 x 2.99 x 0.31 in),166 g (5.86 oz),,Nano-SIM,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 7.1.1 (Nougat),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",Charging 10W,Black,VFD 710,About 230 EUR,Asahi Dragontrail Glass,,,,,,,,,,,,8 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart N8,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.0,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, June",144.5 x 71.9 x 8.6 mm (5.69 x 2.83 x 0.34 in),151 g (5.33 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDHC,16GB 1.5GB RAM,,"LED flash, HDR",720p@30fps,"13 MP, AF",,,"Yes, dual speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 2400 mAh, non-removable",,"Graphite, Gold",VFD 610,About 100 EUR,,,,,,,,,,,,,5 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Tab Prime 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-tab-prime-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",259.2 x 155.8 x 8 mm (10.20 x 6.13 x 0.31 in),439 g (15.49 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~73.2% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),16GB 2GB RAM,,,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,"Li-Po 5830 mAh, non-removable",,Silver,,About 190 EUR,,,,,,,,,,,,,2 MP,,,,,,,,Yes,Yes,Yes,1.44 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart Turbo 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-turbo-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",140.6 x 72.4 x 9.5 mm (5.54 x 2.85 x 0.37 in),167.9 g (5.93 oz),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6735M (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 1GB RAM,,LED flash,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, non-removable",,"Silver, Dark Grey","VFD 500, VFD 502",About 60 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,Yes,Yes,1.67 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart ultra 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-ultra-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, June","Available. Released 2016, June",152.2 x 78.1 x 8.7 mm (5.99 x 3.07 x 0.34 in),150 g (5.29 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 6.0.1 (Marshmallow),Mediatek MT6755M (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2960 mAh, non-removable",,"Silver, Dark Grey",VFD 700,About 160 EUR,,,,,,,,,,,,,5 MP,,,,,,,,,,,0.54 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart Platinum 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-platinum-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, June","Available. Released 2016, June",154 x 75.7 x 7 mm (6.06 x 2.98 x 0.28 in),155 g (5.47 oz),,Nano-SIM,"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Hi-Fi audio,Android 6.0.1 (Marshmallow),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, panorama, HDR",4K@30fps,"16 MP, f/2.0, 1/2.6"", 1.12µm, PDAF",LED flash,1080p@30fps,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable","Fast charging 18W, 50% in 30 min (advertised) Quick Charge 3.0",Black,VFD 900,About 380 EUR,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,8 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart prime 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-prime-7.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,eMMC 4.5,HSDPA 900 / 2100,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, May","Available. Released 2016, May",144 x 72.1 x 8 mm (5.67 x 2.84 x 0.31 in),128 g (4.52 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 69.4 cm2 (~66.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~293 ppi density)",,Android 6.0.1 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,1080p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2540 mAh, non-removable",,"Graphite Black, Boron White",,About 100 EUR,,,,,,,,,,,,,5 MP,,,,Up to 499 h (3G),,Up to 9 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart first 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-first-7.jpg,GSM / HSPA,GSM 900 / 1800,No,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2016, May","Available. Released 2016, May",114.4 x 62.8 x 12 mm (4.50 x 2.47 x 0.47 in),110 g (3.88 oz),,Mini-SIM,TFT TN capacitive touchscreen,"3.5 inches, 36.5 cm2 (~50.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 5.1 (Lollipop),Spreadtrum SC7731G,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),4GB 512MB RAM,,,720p@30fps,2 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP",A-GPS only,,FM radio,microUSB 2.0,No,"Li-Ion 1400 mAh, removable",,"Volcano Black, Tech White",VFD 200,About 30 EUR,,,,,,,,,,,,,,,,,,,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
